,Sentences
44,"All the ships might be docked, all the factory wheels stopped, and all the railroads turned to streaks of rust, and still the race would survive, but let the plow lie idle for a year and man would perish as when the deluge swept the mountain tops."
45,The next census will show considerably over farms in the United States.
46,"Farming is the greatest of all industries, as it is the most essential."
47,"Our Government has wisely made the head of the Department of Agriculture a cabinet officer, and the effect on our farming interest is shown in improved methods and a larger output of better quality."
48,"The hap hazard, unskilled methods of the past are disappearing."
49,"Science is lending her aid to the tiller of the soil, and the wise ones are reaching out their hands in welcome."
50,"BUSINESS METHODS NEEDED As farming is our principal business, it follows that those who conduct this vast and varied enterprise should be business men."
51,"The farmer is a producer of goods, and so might be regarded as a manufacturer, the original meaning of the word is one who makes things by hand."
52,"He is also a seller of his own products, and a purchaser of the products of others, so that, to some extent, he may also be regarded as a trader or merchant."
53,Enterprise and business skill are the requisites of the manufacturer and merchant.
54,Can the farmer succeed without them
55,"No business can prosper without method, economy, and industry intelligently applied."
56,"No man works harder the year round than does the American farmer, yet too many are going back instead of advancing."
57,"In such cases it will be found that there is enough hard work for better results, and that the cause of failure is that the industry has not been properly applied, and that economy has had no consideration."
58,"Economy does not mean niggardliness, or a determination to get along without tools that your neighbor has purchased."
59,"A neglect to secure the best tool needed might be classed as an extravagance, a waste, if the tool in question could have added to the quality and quantity of the output, without the expenditure of more labor."
60,Business common sense is taking the place of old fashioned conservatism and scientific methods are no longer sneered at as book farming.
61,CHAPTER II DOCUMENTS EVERY FARMER SHOULD UNDERSTAND All property implies an owner.
62,"Property is of two kinds, real and personal."
63,"The former is permanent and fixed, the latter can be moved."
64,"Every occupant of realty holds it through a deed, which carries with it sole ownership, or through a lease which carries with it the right to occupation and use in accordance with the conditions as to time and the amount to be paid, set forth in the written instrument."
65,"A deed carries with it sole ownership, a lease covers the right of use for a fixed period."
66,"AS TO DEEDS The purchaser of real estate, say a farm, should receive, from the person selling the property, a written instrument, or conveyance known as a deed."
67,The deed must show clearly that the title to or interest in the property has been transferred from the seller to the buyer.
68,"Before the deed is signed and delivered, the buyer should know that he is getting a clear title to the property described in the conveyance."
69,"In order to insure the accuracy of the title and thus avoid subsequent complications and perhaps lawsuits, the paper should be submitted to some good lawyer, or other person acquainted with real estate law and the methods by which titles are traced from the first owner to the present possessor."
70,"TITLE ABSTRACTS In all the great business centers of the United States there are Title Guarantee Companies, who for a consideration to be paid by the seller furnish an abstract of title, and insure its validity."
71,In smaller places the local lawyers know how to make up an abstract and one should be employed.
72,Never trust the search of the inexperienced.
73,"An abstract of title is a memorandum taken from the records of the office where deeds are recorded, and showing the history of the title from the Government up to the present time."
74,"The seller should furnish the buyer with a certificate from the proper county officer, showing whether or not all taxes have been paid up to the last assessment."
75,"In addition to this, before the money is paid and the deed accepted, the purchaser should be satisfied that there are no mortgages, liens, attachments or other claims against the property."
76,"If such claims exist and are known to the buyer, he may assume them as a condition of the sale."
77,PARTIES TO A DEED The person selling the land and making the deed is known in law as the Grantor.
78,The person buying the property is known as the Grantee.
79,"A deed is a form of contract, and in order to have its terms and statements binding on the maker, he must be twenty one years of age, or over, and he must be of sound mind."
80,"The grantee need not be twenty one, nor of sound mind in order to make the terms of the deed binding on the grantor."
81,"In some states, if the grantor be a married man, his wife must sign the deed with him."
82,"This should be seen to, for without the wife's signature the grantee will not have a clear title, for the woman could still claim an interest in the property equal to her dower right."
83,"Also, if the grantor is a woman, her husband, for the reasons given, should join with her in the execution of the deed."
84,The preparation of a deed should not be left to the unskilled.
85,"DIFFERENT DEEDS There are three kinds of deeds, viz."
86,": General warranty deeds, special warranty deeds, and quit claim deeds."
87,"The general warranty deed, if it can be had, is the one every purchaser should get."
88,"In the general warranty deed the grantor agrees for himself, his heirs, executors, administrators, and assigns, that at the time of making the deed he is lawfully in possession, seized is the legal term, of the estate described in the deed, that it is free from all incumbrance, and that he will warrant and defend the grantee and his heirs and assigns against all claims whatsoever."
89,In the quit claim deed the grantor conveys to the purchaser his interest in or right to the property under consideration.
90,"The quit claim grantor does not guarantee the title to the property, nor warrant the grantee against any other claims."
91,"He simply, by the deed, quits his claim to the property."
92,The special warranty deed covenants and warrants only against the acts of the grantor and those claiming title under him.
93,"MAKING A DEED After a deed is properly drawn, it is ready to be signed, sealed, and delivered to the grantee."
94,"If the wife of the grantor is to sign, her name should follow that of her husband."
95,"If one or both cannot write, the signature can be made in this way: His George X Jones."
96,"In some states one or more witnesses are required to the signature of the grantor; in others, witnesses are not necessary, except where a mark is made."
97,An important part of a deed is the Acknowledgment.
98,"This is the act of acknowledging before a notary public, justice or other official properly qualified to administer an oath, that the signatures are genuine and made voluntarily."
99,"The acknowledgment having been taken, the official stamps the paper with his seal and signs it."
100,"In some states the law requires that a wax or paper seal be attached to the paper, while in others a circular scroll, made with the pen, with the letters L.S."
101,in the center answer the purpose.
102,When the foregoing essentials are complied with the deed must be delivered to the grantee.
103,"The delivery is essential, for without it the deed is of no value, even though every other requisite be complied with."
104,"A deed may be made for land on which full payment has already been acknowledged, but if the grantor dies before the deed is delivered, then the deed has no legal value."
105,"A deed obtained by fraud, deceit or compulsion is void."
106,"RECORDING DEEDS As soon as possible after the grantee has received the deed, he should have it recorded."
107,"In every county in the different states there is an officer, known as register or recorder, whose duty it is to enter in regular folios, or books, a copy of every deed or mortgage presented to him."
108,The document then becomes a part of the county records.
109,The grantee must pay the recording fees.
110,"Anyone, on paying the fee for copying and certifying, can obtain a copy of any document that has been recorded in a register's office."
111,"If an original deed is lost, the certified copy of the register has all the legality of the original."
112,"All deeds and other papers of value should be carefully kept, so that they may be available, if needed."
113,"A small safe deposit box with a company that keeps such spaces for rent, is often a wise investment."
114,Keep all related papers in one package or envelope.
115,"If there is one lawyer who attends to all your legal business, he will be a good custodian of all papers of record, for he usually has a fireproof safe."
116,CHAPTER III OTHER FORMS OF DEEDS MORTGAGES There is one condition under which the grantor does not turn over or deliver the deed to the grantee after it is made.
117,This is known as a Deed in Escrow.
118,A deed delivered in escrow is when the document is placed with a third party to be by him delivered to the grantee when a certain time has elapsed or certain conditions have been fulfilled.
119,"When the conditions have been complied with, the deed is given by its custodian to the grantee, which is as legal as if it were given by the grantor in person."
120,TRUST DEEDS A trust deed is the form used to convey property to some person who is entitled to its proceeds or profits.
121,This form of deed is often used to secure the payment of a debt.
122,In some states they take the place of mortgages.
123,"Where the trust deed is meant to take the place of a mortgage to secure a debt payment, the property is deeded to a third party known as a trustee."
124,"The trustee in this case is the agent for debtor and creditor, and he must act impartially."
125,The trust deed specifies the character of the debt to be secured.
126,"In case of failure to pay the debt as agreed on, the trustee may, if so warranted, sell the property, and pay the obligation from the proceeds."
127,"The grantor in a trust deed, if not stipulated to the contrary, is entitled to all the rents and profits of the property; for it remains virtually his, until he has failed to fill his contract."
128,"When the indebtedness secured by the trust deed has been paid, the trustee must at once execute a paper known to law as a Release Deed."
129,When recorded this instrument discharges the lien.
130,"AS TO MORTGAGES Mortgages are of two kinds, real and chattel."
131,"The first is a lien on real estate, the second on personal property."
132,"A mortgage may be defined as a conveyance of property, personal or real, as security for the payment of a debt, or it may be given as a guarantee for the performance of some particular duty."
133,"MORTGAGE FORMS When a mortgage is given as security for the payment of a debt, the rule is to give a note for the payment of the amount involved."
134,The mortgage becomes in this case the security for the note's payment.
135,In the body of the note it must be stated that it is secured by mortgage.
136,The date of the note and mortgage should be the same.
137,The man who mortgages his property is the mortgagor.
138,The man to whom the mortgage is given is the mortgagee.
139,"The form of the mortgage is the same as that of a deed, except that it contains a clause called the Defeasance, which states that when the obligation has been met the document shall be void."
140,"MORTGAGES MUST BE RECORDED The forms for signing, sealing and delivering a mortgage, are the same as with a deed."
141,"A mortgage must be recorded the same as a deed, the mortgagee paying the fees."
142,"Chattel mortgages are filed and recorded in the same way, except that it is not usual to make copies of the instrument."
143,They are described in books prepared for the purpose.
144,"A wife need not join her husband in making the note secured by a mortgage, but if she agrees to the transaction it is necessary for her to sign the mortgage; however, some states do not require this."
145,PAYMENTS Often a life insurance policy is used as security for the payment of a mortgage.
146,"The mortgagee, if there be buildings on the property, should see that the buildings are insured and that the policy or policies are made out in his name."
147,If the insurance policy is in the mortgagor's name he may collect and keep the insurance money.
148,"The mortgagor must meet, as stipulated, every payment of the principal and interest."
149,Failure to meet one payment can result in a legal foreclosure.
150,"When a payment is made, the date and the amount must be entered on the back of the note."
151,This should be done in the presence of the mortgagor.
152,If possible always pay the obligation by check.
153,"If a payment is accepted on a mortgage and the amount is not sufficient to meet the sum required, the interest is first settled in full, the rest is credited to the principal."
154,"When the full amount, with interest, is paid in, it becomes the duty of the mortgagee to have the mortgage discharged."
155,"A complete settlement is when, all payments being made, the mortgagee surrenders the note and its security, and causes to be written by the register, on the margin of the copy in his books, the words, discharged, or satisfied, affixing thereto his official signature and the date."
156,ASSIGNMENTS A mortgage is regarded in law as personal property.
157,A mortgage need not remain in the hands of the mortgagee in order to be valid.
158,"It can be sold like bonds, stocks or other property, and there are men who deal only in that form of security."
159,"In order to sell a mortgage, the owner must make, to the purchaser, what is known as an assignment of mortgage."
160,"The assignment should be recorded in the same way as the original mortgage, the assignee paying the fee."
161,"REDEMPTION OF MORTGAGES While the rule as to the redemption of mortgages remains the same in some localities that it formerly was, the law in most places is now more lenient."
162,Now the mortgagor who has failed is usually given by law an extension of time in which to make good the payment of principal and interest.
163,"Lenders, when the interest is met, are content to let the mortgage run on as an investment, though it will often be found, in such cases, that it is better to make a new mortgage."
164,"EQUITY OF REDEMPTION Where the payments on a mortgage have not been met and the instrument has not been foreclosed, the mortgagor has still what is known as an equity of redemption."
165,In some states after the foreclosure of the mortgage and the sale of the property there is still a period of redemption of from sixty days to six years.
166,The mode of foreclosure differs in some states.
167,"The usual method is to foreclose on an order from the court, and to have the sale conducted by a court officer."
168,"The proceeds from the sale are used to pay the principal, interests and costs."
169,"If there is money left over it is paid to the mortgagor, whose interests in the property are then at an end."
170,"Many people, not familiar with business methods, are inclined to regard a mortgage as something of a disgrace, when, as a matter of fact it is a most usual and honorable means of raising money for the securing of a home or the conducting of a business."
171,"Nearly all of the great railroads of the country have been built by the sale of the mortgage bonds, which are usually renewed when due, and are sought out as a safe and sane form of investment."
172,The fact that a mortgage payment has to be met on a farm is often in itself the strongest inducement to industry and economy.
173,"CHAPTER IV WILLS Whether farmer, manufacturer, merchant or professional man, and whether in youth, mid age or declining years, every owner of personal or real property, or both, should make a will."
174,"If you have not made a will, get over the foolish notion that it is a premonition of death, and do so at once."
175,A will is a written and signed declaration of the disposition one wishes to have made of his property in the event of his death.
176,The maker of a valid will must be of sound mind and not less than twenty one years of age.
177,"Women, whether married or single, if of proper age, are competent to make a will."
178,OF TWO KINDS A will may be written or unwritten.
179,Unwritten wills are known as nun cupative.
180,"Nun cupative wills are employed only when through accident, or sudden seizure by a fatal disease, the time necessary to write and sign a will cannot be had."
181,"The unwritten will must be authenticated by reliable and unprejudiced witnesses, and generally it can dispose of personal property only."
182,"In the written will no precise form is necessary, though when drawn by a lawyer it usually begins with some such form as: I, George Brown, being of sound mind and good understanding, do make and declare this to be my last will and testament , etc."
183,A will is not necessarily permanent.
184,"It may be cancelled or changed in any way by the maker before his death, or a new will can be made."
185,The last will cancels all preceding wills.
186,An addition to an existing will is known as a codicil.
187,A man making a will is called a testator.
188,A woman making a will is called a testatrix.
189,"LIMITATIONS OF WILLS A man has a right to dispose of his property by will or gift as he chooses, but if he is married the law compels him to consider the rights of another."
190,"The husband cannot, by will or otherwise, deprive his wife of her right of dower in his real estate and appurtenances."
191,"Unless she chooses to accept, the wife need not accept other property that is bequeathed her in lieu of dower."
192,The wife's dower interest in her husband's estate is a life interest only.
193,"On her death it goes to the husband's heirs, as if there had been no widow."
194,In some states there is no right of dower.
195,"HOW TO MAKE A WILL The will not only shows the purpose of the testator, but it serves as a bar to litigation among the natural heirs."
196,"Any man or woman can write out his or her will, but unless quite familiar with such work it is better to employ a lawyer for the purpose."
197,The person named in the will to carry out the purpose of the testator is known as the executor .
198,"No person, not twenty one at the time the will is proved can act as an executor."
199,"Neither a convict, an imbecile, nor one known to be a drug fiend or an habitual drunkard, is eligible for the post of an executor."
200,"If an executor be appointed against his will, the law does not compel him to serve."
201,"There must be at least two witnesses to a will, some states require three."
202,"The witnesses need not know the contents of the will, but they must understand before signing that it is a will, and they must see it signed by the testator."
203,Under the common law the will is void if the witnesses are beneficiaries.
204,"In some states a will so witnessed is valid, except that the witnesses cannot receive their legacies."
205,All the witnesses should sign at the same time and add their addresses.
206,"If an heir at law, say a child, is not mentioned in the will, the law assumes that he was forgotten by the testator and generally gives the share the heir would be entitled to if there were no will."
207,"At the end of the will the testator, in the presence of the witnesses, should write his name in full."
208,AN EXECUTOR'S DUTIES An executor is the legal representative of the testator.
209,It is his duty to see that the provisions of the will are carried out.
210,No man is qualified to act as executor who is not competent to make a will.
211,"Executors, unless relieved by the provisions of the will, are required to file bonds, proportioned to the value of the estate, for the faithful performance of their duties."
212,"Should there be no executor named in the will, or if the person so named refuses to act, or if he dies or resigns, the court will appoint a person to act in his place."
213,The executor appointed by the court is known or called an administrator with the will annexed.
214,"In some states the court having jurisdiction of wills and estates of deceased is known as the probate, in others it is called the Surrogate's Court, and in still others, The Orphan's."
215,"ADMINISTRATORS AND THEIR DUTIES If a man, owning property, dies without making a will, the judge of the proper court will appoint an administrator to settle the estate."
216,This is the method of procedure:
217,"A person, interested in getting the estate settled, goes before the proper judge and asks him to appoint an administrator."
218,The administrator must give the same bond as an executor.
219,"In settling the estate the administrator is governed by the law, and by the special directions of the officer having jurisdiction in such matters."
220,He must make a careful list of all the property belonging to the estate.
221,The value of the personal property is estimated by men specially appointed by the court for the purpose and known as appraisers .
222,The administrator must account for every item of property that comes into his possession.
223,"All debts of deceased must be first paid, including funeral expenses."
224,"If the proceeds of the personal property are not sufficient for this purpose, the administrator may, if there be real estate, sell the whole or part of it, on an order from the court."
225,DEBTS Debts must be paid in an order prescribed by law.
226,The following is the usual order:
227,Funeral expenses and expenses of last illness.
228,Debts due the state or municipality.
229,"Whatever property is left, after paying these obligatory sums, is divided among the rightful heirs under the direction of the court, and in the manner provided by law."
230,"The administrator must advertise, in one or more county papers the fact that he has been appointed to settle the estate of the deceased, whose name is given, and he must ask that all claims be presented within a given period, usually fixed at six months."
231,"When the estate is settled to the satisfaction of the court, the same authority releases the administrator and his bondsmen."
232,All the fees connected with the settlement are regarded as debts and must be paid from the proceeds of the estate before closing.
233,"THE FINAL SETTLEMENT When the debts are paid and the residue divided among the heirs, the administrator files his account."
234,If it is allowed the case ends.
235,The parties of interest in an estate may agree to settle it out of court.
236,"This saves expense, but it is not the safest way."
237,"CHAPTER V LETTER WRITING What has been said about deeds and mortgages applies not only to the farmer, but also to every owner of a building lot."
238,The same may be said of wills.
239,They have a business interest for the town as well as for the country dweller.
240,"BUSINESS LETTERS The purpose of this book being strictly business, no attempt will be made to instruct the reader in anything not connected with the subject under consideration."
241,"Social, friendly, and such letters are matters for individual time and taste, and no rule can be laid down for their writing, but the business letter is a different matter, and one which deserves special consideration from every man or woman who receives an order by mail, or who sends one."
242,"To write a good business letter is no mean accomplishment, and although a gift with some, it can be acquired by all."
243,"A letter is, in a way, a testimonial of the character and ability of the writer."
244,The purpose of a business letter is to express just what you want and no more.
245,"Any man with a good common school education, and a little patient practice, can soon learn to write as good a business letter as the college graduate."
246,"Correct spelling may not be general, but it is certainly desirable."
247,"Letter writing, as in the preparation of other papers, has its own well recognized forms, and these may be easily learned."
248,Every properly constructed business letter should consist of the following parts:
249,"THE HEADING The letter should begin by giving the address of the writer, followed by the date on which it was written."
250,This will enable the recipient to direct his reply.
251,"If from a city, the street and number should be given."
252,If many letters are written it will be convenient to have the permanent address of the writer printed.
253,"The writing should be plain, and there should be no doubt in the mind of the reader as to the proper spelling of the address and signature."
254,Avoid the hieroglyphics which some vain men adopt in signing their names.
255,"It may be fanciful, but it does not imply consideration for the time and patience of strangers."
256,"The following forms will serve to illustrate the type of heading used in ordinary business letters: Smith St., Brownsville, Mass."
257,"Messrs. Brown and Jones, Denver, Col. Gentlemen: Seminole St., Fort Smith, Ark."
258,"Mrs. Mary J. Robinson, Lansing, Cal."
259,"Dear Madam: The Mr., Mrs., Madam, and Miss are titles of courtesy and should not be omitted."
260,for Esquire is sometimes used; but the two titles Mr. and Esq.
261,"should never be used with one name, as Mr. John Smith, Esq."
262,"If a man is known by a military or other title, always use it, but never precede it with Mr. nor follow it with Esq."
263,"Clergymen should always be addressed as Rev., the abbreviation for Reverend."
264,"If he is a doctor of divinity, add D.D."
265,"Medical doctors may be addressed as Dr. John Smith, or John Smith, M.D."
266,THE GREETING The greeting or salutation is a term of courtesy or esteem used in addressing the one to whom the letter is sent.
267,"Sir is the formal greeting, and is used in addressing officials, or any strange male person."
268,"Sirs, or Gentlemen may be used in the plural."
269,"Dear Sir, or My Dear Sir, is the usual form of greeting when a business letter is addressed to an individual."
270,"Where the writer is acquainted with the person addressed, the usual form of greeting is Dear Mr."
271,"THE LETTER ITSELF If writing in response to a letter received, the writer should begin in some such way as this: Mr. Thomas Brown, Newburg, N. Y."
272,My Dear Sir: Your favor of the second inst.
273,"In reply permit me to state, etc., etc."
274,"This should be followed by the necessary statement, set forth in clear, simple words."
275,The secret of good writing is clear thinking.
276,ENDING THE LETTER There is much in the proper ending of a letter.
277,"In the ordinary business letter the usual ending may be, Yours truly, Yours very truly, or Yours respectfully."
278,"Other endings used in writing to business acquaintances are, Yours sincerely, or Very sincerely yours, or you may substitute the words Cordially or Heartily for sincerely."
279,SIGNING THE LETTER The name of the writer should be so clear and distinct as to leave no doubt as to the spelling.
280,The name should always be written in the same way.
281,"If your name is George W. Brown, do not write it at one time as here given, and again as G. Washington Brown, or G. W. Brown."
282,Adopt one form and stick to it.
283,"If you are writing for a firm or for another as clerk or secretary, always sign the firm name, and below it your own name preceded by the word per, meaning by or through."
284,THE MATERIALS Never use scraps of paper or soiled paper to write on if better can be had.
285,"The materials of a letter affect the receiver, particularly if a stranger, just as one is affected by the garb of a stranger before he speaks."
286,Use a good pen and black ink.
287,Fold your paper so that it will fit the envelope.
288,Avoid blots and erasures; they indicate carelessness or unbecoming haste.
289,"Here is a good form: Mr. George W. White, Boston, Sioux St. Mass."
290,"LETTERS OF INTRODUCTION At some time or another one has to write a letter of introduction, and sometimes he has had to pay for it."
291,"If you should give such a letter to a man to introduce him to another with whom you trade, the law has held that the introducer is responsible for any reasonable bills the introduced may contract with the receiver of the letter."
292,Never give a letter of introduction to a man you are not sure of.
293,"In addressing a letter of introduction which is to be handed in person, do it in this way: Mr. George W. Brown, Washington, D. C. Introducing Mr. Henry Wilson."
294,This shows on its face the nature of the communication.
295,"Here is a good form: Payne Ave., Montrose, Ill. September"
296,"Mr. Norman R. Lloyd, Chicago, Ill. Dear Mr. Lloyd: This will introduce my esteemed friend Mr. Thomas T. Fletcher, of this town."
297,Mr. Fletcher contemplates opening a drug store in Chicago.
298,Should he do so he will prove an acquisition to your City.
299,"Any favor you can render him will be much appreciated by, Yours faithfully, George W. Brown."
300,"RECOMMENDATIONS Every man of standing and every employer of labor is at times called on to certify to the character, or to give a testimonial to some esteemed employee who is about to seek his fortune in another place."
301,"If you are about to hire a stranger, it adds to your confidence and to his chances if he have a testimonial as to character and fitness from his last employer, or from some man whose word you value."
302,The letter of recommendation is usually of a general character and not addressed to any particular.
303,It should open in this way: To whom it may concern.
304,Follow this with your testimonial and sign it.
305,"TITLES The President of the United States is addressed as: His Excellency, William H. Taft, Executive Mansion, Washington, D. C. Cabinet officers, Senators, Congressmen, members of the Legislature, and Mayors of cities are usually addressed as Hon., the abbreviation of honorable."
306,"After all titles of courtesy are not obligatory, unless we regard the unwritten law of custom in such matters as binding."
307,"The very best kind of a letter, and perhaps the hardest to write, is that in which the writer appears to be talking to us face to face."
308,"CHAPTER VI BILLS, RECEIPTS AND ACCOUNTS Try to understand clearly the meaning of all the business terms you have to use."
309,"The terms bill and invoice usually mean the same thing, that is, a bill of sale."
310,"This applies to goods sold, or services rendered."
311,The merchant sends you an itemized invoice of the goods you ordered and he has shipped.
312,The carpenter sends you an itemized bill of the work done by your order.
313,"Such a document should be regarded not as a dun, but rather as a record of the contract or transaction."
314,"In the foregoing case the merchant and the carpenter are the creditors, the recipient of the goods or work is the debtor."
315,BILLS FOR GOODS In writing out a bill the date is the first thing to be considered.
316,This should be the same in form as a business letter.
317,"This form will serve as an illustration: Glenwood, N. J. October"
318,"Robert Brown To George L. White, Dr. Sept"
319,"Received payment, SIGNATURE ON PAYMENT Wholesale houses send such bills as soon as the goods are shipped or delivered, though the payment, as per agreement, is not to be made for thirty, sixty or ninety days."
320,"Where there is a running account, that is, frequent orders, with total payments never completed, it is customary for the seller, at the beginning of a calendar month to send to the creditor a statement."
321,"This statement does not repeat the items of the bills rendered, its purpose being to show the balance due to date."
322,"BILLS FOR LABOR Where a mechanic or laborer is employed by the day at a fixed wage, the length of time and dates should be given."
323,"Charles M. Pratt, To John Smith, Dr. To days, from Oct. t to h inclusive, at ......... To days, Oct. h, h and h.................... To days, Oct. h, h and h ....................... Received payment, Signature."
324,This bill is just as transferable as a mortgage.
325,"If for any reason Mr. Smith should decide to sell it, say to Robert Brown, he should make the following endorsement across the back: In consideration of dollars, the receipt of which is hereby acknowledged, I do hereby sell and assign to Robert Brown, the written account, which is justly due from the within named Charles W. Pratt, and I hereby authorize the said Robert Brown to collect the same."
326,"Regarded simply from a business viewpoint and without considering ethics, Honesty is the best policy."
327,"Bills, where possible, should be promptly paid."
328,Prompt payment is a guarantee of credit and credit is the heart if not the soul of business.
329,"Never, if it can be avoided, buy goods on the installment plan."
330,"Be sure to get a receipt for all payments you make, and be equally sure to keep the receipt where you can find it."
331,"Examine all bills and invoices; compare them with the goods received, and no matter what your faith in the seller's care and honesty, calculate for yourself the price of each item, and be sure that the total is correct."
332,"DISCOUNT IN TRADE It is a business custom, when a bill is paid before it is due, to allow a discount."
333,"This may be the legal rate of interest, or any percentage agreed on in advance."
334,"Sometimes wholesale merchants or manufacturers grant esteemed customers, in consideration of prompt payments, a discount from the regular prices."
335,This is known as trade discount.
336,We often read of two or more discounts.
337,A store keeper buys a bill of goods for and is granted and from the selling price.
338,This does not mean a discount of as the uninitiated might think.
339,"The is deducted from the that is, leaving"
340,"Then the , is deducted from this, leaving"
341,Partial payments are not endorsed on the bill.
342,The receipt is written on a separate piece of paper.
343,It differs from the usual receipt in that the one is in full payment and the other on account.
344,Receipt no bill before it is actually paid.
345,Some one has translated the letters C. O. D. into Come omejitly Down.
346,The Collect on Delivery usually accompanies goods sent by express.
347,"FORMS OF RECEIPTS A receipt for a partial payment: Leavenworth, Kansas."
348,Received from Charles Long seventy five dollars on account.
349,"A receipt in full: San Diego, Cal."
350,"Received from N. O. Taylor, two hundred and sixty dollars, in full payment to date."
351,"Received from Thomas Moore, ten cords of hardwood, at a cord, the sum to be applied to his account."
352,In payment of rent: Received from William Forbes seventeen dollars in full payment of rent of premises No.
353,"West Street, for the month ending October"
354,"Where one person pays for another: Wilmington, Del."
355,Received from Alfred Thompson eighty dollars to apply to the account of Hiram O.
356,"Baker Jones Co., per, S. N. Thorp."
357,Receipts and other documents signed with a mark X should be witnessed.
358,"Payment on a note: Bridgeport, Conn. July"
359,"Received from Casper N. Work one hundred and fifty dollars to apply on the payment of his note to me for six hundred dollars, dated March"
360,"The maker of the note should, in addition to getting his receipt, have the amount of his payment endorsed on the back of the note by the holder."
361,"Where a receipt is given to the administrator of an estate his position should be named as Robert Fields, administrator of the estate of John Jones, deceased."
362,An order is a command or instruction by one person to another to do a stated thing.
363,An order may be given for the delivery of goods or the payment of cash.
364,"This is the usual form: Dayton, Ohio."
365,"Mr. G. W. McBride: Please deliver to Edward Lott goods from your store to the amount of ten dollars, and charge to my account."
366,"This would be an order for cash: Holden, Ind."
367,Please pay to Thomas Jackson thirty dollars and charge same to my account.
368,"A DUE BILL The customary form of a due bill is: Durham, N. C. May"
369,"Due George Smith ten dollars, payable in merchandise from my store."
370,"CHAPTER VII WHO SHOULD KEEP ACCOUNTS To have any value, business accounts, whether of a great or a small concern, must be accurately kept."
371,"Every man and woman, having unsettled dealings with others, should keep some sort of book accounts."
372,"Storekeepers must keep accounts, and every farmer and mechanic, who would know just what he owns and what he has spent during the past month and year, should keep an exact account of every cent received and paid out."
373,"Lawyers and doctors know how to keep accounts, or if they do not they are neglecting their own side of their professional duties."
374,"Workers, skilled and unskilled, and even the hired girl who is paid by the month, should keep a record of the compensation received, and how the whole or the part has been expended."
375,"No woman can be called a really good housekeeper who does not know to a penny what has become of the money she has received for the upkeep of her establishment, whether she have a score of servants or does all her own work."
376,"In order to keep such accounts, as have just been indicated, it is not necessary to be a trained bookkeeper, or to know anything more about the art than a good common school education gives."
377,Another word as to the farmer.
378,"I am not thinking in this connection of the old time, deep in the ruts farmer, who never learns and knows nothing to forget, but of that wide awake producer who tries to keep up with the times."
379,"Not only should the farmer keep cash accounts, the form may be quite simple, but all his business affairs should be kept in the best possible trim."
380,"Personal agreements without some kind of writing to back them up, are dangerous."
381,All transactions involving labor or money should be recorded in black and white.
