,Sentences
29,"_____ ________________ Scout Master SCOUT HISTORY Qualified as Tenderfoot ________ Second Class Scout _________ First Class Scout _______ QUALIFIED FOR MERIT BADGES SUBJECT DATE _______________ ________________ _______________ ________________ _______________ ________________ _______________ ________________ _______________ ________________ Qualified as Life Scout ________________ Qualified as Star Scout ________________ Qualified as Eagle Scout ________________ Awarded Honor Medal ________________ v PREFACE The Boy Scout Movement has become almost universal, and wherever organized its leaders are glad, as we are, to acknowledge the debt we all owe to Lieut. Gen. Sir Robert S. S. Baden Powell, who has done so much to make the movement of interest to boys of all nations."
30,The BOY SCOUTS OF AMERICA is a corporation formed by a group of men who are anxious that the boys of America should come under the influence of this movement and be built up in all that goes to make character and good citizenship.
31,"The affairs of the organization are managed by a National Council, composed of some of the most prominent men of our country, who gladly and freely give their time and money that this purpose may be accomplished."
32,"In the various cities, towns, and villages, the welfare of the boy scouts is cared for by local councils, and these councils, like the National Council are composed of men who are seeking for the boys of the community the very best things."
33,"In order that the work of the boy scouts throughout America may be uniform and intelligent, the National Council has prepared its Official Handbook, the purpose of which is to furnish to the patrols of the boy scouts advice in practical methods, as well as inspiring information."
34,"The work of preparing this handbook has enlisted the services of men eminently fitted for such work, for each is an expert in his own department, and the Editorial Board feels that the organization is to be congratulated in that such men have been found willing to give their time and ripe experience to this movement."
35,"It would be impossible adequately to thank all who by advice and friendly criticism have helped in the preparation of the book, or even to mention their names, but to the authors whose names are attached to the various chapters, we acknowledge an especial obligation."
36,Without their friendly help this book could not be.
37,We wish especially to express our appreciation of the helpful suggestions made by Daniel Carter Beard.
38,"We have carefully examined and approved all the material which goes to make up vi the manual, and have tried to make it as complete as possible; nevertheless, no one can be more conscious than we are of the difficulty of providing a book which will meet all the demands of such widely scattered patrols with such varied interests."
39,We have constantly kept in mind the evils that confront the boys of our country and have struck at them by fostering better things.
40,Our hope is that the information needed for successful work with boy scouts will be found within the pages of this book.
41,"In these pages and throughout our organization we have made it obligatory upon our scouts that they cultivate courage, loyalty, patriotism, brotherliness, self control, courtesy, kindness to animals, usefulness, cheerfulness, cleanliness, thrift, purity and honor."
42,"No one can doubt that with such training added to his native gifts, the American boy will in the near future, as a man, be an efficient leader in the paths of civilization and peace."
43,It has been deemed wise to publish all material especially for the aid of scout masters in a separate volume to be known as The Scout Masters' Manual.
44,"We send out our Official Handbook, therefore, with the earnest wish that many boys may find in it new methods for the proper use of their leisure time and fresh inspiration in their efforts to make their hours of recreation contribute to strong, noble manhood in the days to come."
45,THE BOY SCOUTS OF AMERICA Editorial Board.
46,"WILLIAM D. MURRAY GEORGE D. PRATT, A."
47,"A. JAMESON, vii OFFICERS AND MEMBERS OF THE NATIONAL COUNCIL BOY SCOUTS OF AMERICA THE FIFTH AVENUE BUILDING, FIFTH AVENUE NEW YORK CITY Honorary President THE HON."
48,"WILLIAM H. TAFT Honorary Vice President Colonel THEODORE ROOSEVELT President COLIN H. LIVINGSTONE, Washington, D. C. t Vice President B. L. DULANEY, Bristol, Tenn. Vice President MILTON A. McRAE, Detroit, Mich. Vice President DAVID STARR JORDAN, Stanford, Ca."
49,"Chief Scout ERNEST THOMPSON SETON, Cos Cob, Conn. National Scout Commissioner DANIEL CARTER BEARD, Flushing, L. I., N.Y. National Scout Commissioner Adj. Gen. WILLIAM VERBECK, Albany, N.Y. National Scout Commissioner Colonel PETER S. BOMUS, New York City Treasurer GEORGE D. PRATT, Brooklyn, N. Y."
50,"MEMBERS OF THE EXECUTIVE BOARD COLIN H. LIVINGSTONE, Chairman Daniel Carter Beard Milton A. McRae Mortimer L. Schiff Col. Peter S. Bomus William D. Murray Ernest Thompson Seton B. L. Dulaney George D. Pratt Seth Sprague Terry Lee F. Hanmer Frank Presbrey Adj. Gen. William Verbeck George W. Hinckley Edgar M. Robinson JAMES E. WEST, Executive Secretary MEMBERS OF NATIONAL COUNCIL Charles Conrad Abbott Arthur Adams Dr. Felix Adler Harry A. Allison Henry Morrell Atkinson B. N. Baker Ray Stannard Baker Evelyn Briggs Baldwin Clifford W. Barnes Daniel Carter Beard Henry M. Beardsley Martin Behrman August Belmont Ernest P. Bicknell viii Edward Bok Colonel Peter S. Bomus Hon."
51,Charles J. Bonaparte William D. Boyce H. S. Braucher Roeliff Brinkerhoff Dr. Elmer E. Brown Luther Burbank Dr. Richard C. Cabot Rev.
52,S. Parkes Cadman Arthur A. Carey E. C. Carter Richard B. Carter W. D. Champlin Thomas Chew Winston Churchill G. A. Clark P. P. Claxton Randall J. Condon C. M. Connolly Ernest K. Coulter Dr. C. Ward Crampton George H. Dalrymple Dr. George S. Davis E. B. DeGroot Judge William H. De Lacy William C. Demorest Dr. Edward T. Devine Admiral George Dewey Gov.
53,John A. Diz Myron E. Douglas Benjamin L. Dulaney Hon.
54,T. C. Du Pont Dr. George W. Ehler Griffith Ogden Ellis Robert Erskine Ely Henry P. Emerson Hon.
55,John J. Esch J. W. Everman Eberhard Faber Dr. George J. Fisher Horace Fletcher Homer Folks Dr. William Byron Forbush Dr. Lee K. Frankel Robert Ives Gammell Hon.
56,"James R. Garfield Hamlin Garland Robert Garrett William H. Gay Bishop David H. Greer Jesse A. Gregg George B. Grinnell S. R. Guggenheim Luther Halsey Gulick, M. D. Dr. G. Stanley Hall Dr. Winfield Scott Hall Lee F. Hanmer Dr. Hastings H. Hart Hon."
57,W. M. Hays Prof. C. R. Henderson Clark W. Hetherington George W. Hinckley Allen Hoben Hon.
58,R. W. Hogue John Sherman Hoyt C. R. H. Jackson Prof. Jeremiah W. Jenks G. E. Johnson Dr. David Starr Jordan Mayor William S. Jordan Otto Herman Kahn Dr. William J. Kerby Charles H. Kip Dr. J. H. Kirkland Judge Henry E. Klamroth Rev.
59,Walter Laidlow Charles R. Lamb Joseph Lee Samuel McC.
60,Lindsay Judge Ben B. Lindsey Colin H. Livingstone Col. Frank L. Locke Hon.
61,Lee McClung William McCormick ix Hon.
62,Henry B. F. Macfarland J. Horace McFarland C. W. McKee Hon.
63,William B. McKinley J. S. McLain Francis H. McLean Milton A. McRae Charles G. Maphis George W. Manton Edgar S. Martin Frank S. Mason Frank Lincoln Masseck Dr. William H. Maxwell Lieut. Gen. Nelson A.
64,Miles John F. Moore Arthur C. Moses William D. Murray Dr. Cyrus Northrop Frank W. Ober Hon.
65,C. S. Page Dr. C. H. Parkhurst Hon.
66,"Gifford Pinchot David R. Porter George D. Porter Perry Edwards Powell Frederic B. Pratt George D. Pratt Frank Presbrey G. Barrett Rich, Jr. Jacob A. Riis Clarence C. Robinson Edgar M. Robinson Colonel Theodore Roosevelt Lincoln E. Rowley Oliver J. Sands Dr. D. A. Sargent Henry B. Sawyer Mortimer L. Schiff Charles Scribner George L. Sehon Rear Admiral Thomas Oliver Selfridge Jefferson Seligman Jesse Seligman Ernest Thompson Seton Samuel Shuman Rear Admiral Charles Dwight Sigsbee William F. Slocum Fred."
67,"George Otis Smith Lorillard Spencer Lorillard Spencer, Jr. Judge William H. Staake Hon."
68,Adlai Stevenson Andrew Stevenson A. E. Stilwell C. H. Stoddard Rev.
69,Oscar S. Straus Josiah Strong Hon.
70,William H. Taft Edward K. Taylor Graham Romeyn Taylor Judge Harry L. Taylor William L. Terhune Seth Sprague Terry John E. Thayer Rev.
71,James I. Vance Dr. Henry Van Dyke Adj.
72,Gen. William Verbeck John Wanamaker Henry L. Ward Lucien T. Warner Richard Benedict Watrous Rear Admiral J. C. Watson W. D. Weatherford Dr. Benjamin Ide Wheeler Eli Whitney Mornay Williams Gen. George W. Wingate A. E. Winship Henry Rogers Winthrop Major Gen. Leonard Wood Surgeon Gen. Walter Wyman Major Andrew C. Zabriskie x A MESSAGE FROM THE CHIEF SCOUT TO THE BOY SCOUTS OF AMERICA: There was once a boy who lived in a region of rough farms.
73,"He was wild with the love of the green outdoors the trees, the tree top singers, the wood herbs and the live things that left their nightly tracks in the mud by his spring well."
74,"He wished so much to know them and learn about them, he would have given almost any price in his gift to know the name of this or that wonderful bird, or brilliant flower; he used to tremble with excitement and intensity of interest when some new bird was seen, or when some strange song came from the trees to thrill him with its power or vex him with its mystery, and he had a sad sense of lost opportunity when it flew away leaving him dark as ever."
75,"But he was alone and helpless, he had neither book nor friend to guide him, and he grew up with a kind of knowledge hunger in his heart that gnawed without ceasing."
76,But this also it did: It inspired him with the hope that some day he might be the means of saving others from this sort of torment he would aim to furnish to them what had been denied to himself.
77,There were other things in the green and living world that had a binding charm for him.
78,"He wanted to learn to camp out, to live again the life of his hunter grandfather who knew all the tricks of winning comfort from the relentless wilderness the foster mother so rude to those who fear her, so kind to the stout of heart."
79,And he had yet another hankering he loved the touch of romance.
80,"When he first found Fenimore Cooper's books, he drank them in as one parched might drink at a spring."
81,"He reveled in the tales of courage and heroic deeds, he gloated over records of their trailing and scouting by red man and white; he gloried in their woodcraft, and lived it all in imagination, secretly blaming the writer, a little, for praising without describing it so it could be followed."
82,"Some day, he said, I shall put it all down for other boys to learn."
83,"As years went by he found that there were books about most of the things he wished to know, the stars, the birds, the xi quadrupeds, the fish, the insects, the plants, telling their names; their hidden power or curious ways, about the camper's life the language of signs and even some of the secrets of the trail."
84,But they were very expensive and a whole library would be needed to cover the ground.
85,"What he wanted what every boy wants is a handbook giving the broad facts as one sees them in the week end hike, the open air life."
86,"He did not want to know the trees as a botanist, but as a forester; nor the stars as an astronomer, but as a traveler."
87,"His interest in the animals was less that of anatomist than of a hunter and camper, and his craving for light on the insects was one to be met by a popular book on bugs, rather than by a learned treatise on entomology."
88,"So knowing the want he made many attempts to gather the simple facts together exactly to meet the need of other boys of like ideas, and finding it a mighty task he gladly enlisted the help of men who had lived and felt as he did."
89,Young Scouts of America that boy is writing to you now.
90,He thought himself peculiar in those days.
91,"He knows now he was simply a normal boy with the interests and desires of all normal boys, some of them a little deeper rooted and more lasting perhaps and all the things that he loved and wished to learn have now part in the big broad work we call Scouting."
92,Scout used to mean the one on watch for the rest.
93,We have widened the word a little.
94,We have made it fit the town as well as the wilderness and suited it to peace time instead of war.
95,"We have made the scout an expert in Life craft as well as Wood craft, for he is trained in the things of the heart as well as head and hand."
96,"Scouting we have made to cover riding, swimming, tramping, trailing, photography, first aid, camping, handicraft, loyalty, obedience, courtesy, thrift, courage, and kindness."
97,Do these things appeal to you
98,Do you wish to learn the trees as the forester knows them
99,"And the stars not as an astronomer, but as a traveler"
100,"Do you wish to have all round, well developed muscles, not those of a great athlete, but those of a sound body that will not fail you"
101,"Would you like to be an expert camper who can always make himself comfortable out of doors, and a swimmer that fears no waters"
102,"Do you desire the knowledge to help the wounded quickly, and to make yourself cool and self reliant in an emergency"
103,"Do you believe in loyalty, courage, and kindness"
104,Would xii you like to form habits that will surely make your success in life
105,"Then, whether you be farm boy or shoe clerk, newsboy or millionaire's son, your place is in our ranks, for these are the thoughts in scouting; it will help you to do better work with your pigs, your shoes, your papers, or your dollars; it will give you new pleasures in life; it will teach you so much of the outdoor world that you wish to know; and this Handbook, the work of many men, each a leader in his field, is their best effort to show you the way."
106,"This is, indeed, the book that I so longed for, in those far off days when I wandered, heart hungry in the woods."
107,"Headquarters Boy Scouts of America, Fifth Avenue, New York City."
108,"xiii CONTENTS PAGE Boy Scout Certificate iii Preface v Officers and Members of the National Council vii CHAPTER I. Scoutcraft AIM OF SCOUT MOVEMENT John L. Alexander WHAT SCOUTING MEANS John L. Alexander SCOUT VIRTUES John L. Alexander THE BOY SCOUT ORGANIZATION Special Committee SCOUT OATH Special Committee SCOUT LAW Special Committee TENDERFOOT, SECOND CLASS, AND FIRST CLASS SCOUT REQUIREMENTS Special Committee BADGES, AWARDS AND EQUIPMENT Special Committee KNOTS EVERY SCOUT SHOULD KNOW."
109,Woodcraft WOODLORE Ernest Thompson Seton BIRDCRAFT National Association Audubon Societies SHELLS AND SHELLFISH Dr. Wm.
110,Healey Dall REPTILES Dr. Leonhard Stejneger INSECTS AND BUTTERFLIES United States Bureau of Entomology FISHES AND ANGLING Dr. Hugh M. Smith AQUARIUM Dr. Wm.
111,"Leland Stowell ROCKS AND PEBBLES United States Geological Survey FLOWERS, FERNS AND GRASSES Dr. L. C. Corbett MUSHROOMS, FUNGI OR TOADSTOOLS Ernest Thompson Seton COMMON NORTH AMERICAN TREES Ernest Thompson Seton NATIVE WILD ANIMALS Ernest Thompson Seton CHAPTER III."
112,"Campcraft HIKING AND OVER NIGHT CAMPS H. W. Gibson TENT MAKING MADE EASY H. J. Holden AN OPEN OUTING TENT Warren H. Miller CANOEING, ROWING, AND SAILING Special Committee xiv CHAPTER IV."
113,"Tracks, Trailing, and Signaling Ernest Thompson Seton CHAPTER V. Health and Endurance George J. Fisher, M.D."
114,Chivalry John L. Alexander CHAPTER VII.
115,First Aid and Life Saving Major Charles Lynch WATER ACCIDENTS Wilbert E. Longfellow CHAPTER VIII.
116,Games and Athletic Standards INDOOR AND OUTDOOR GAMES Ernest Thompson Seton ATHLETIC STANDARDS Special Committee CHAPTER IX.
117,Patriotism and Citizenship Waldo H. Sherman PRACTICAL CITIZENSHIP Col. Theodore Roosevelt APPENDIX.
118,"EQUIPMENT BOOKS FOR REFERENCE INDEX ADVERTISEMENTS HANDBOOK FOR BOYS CHAPTER I SCOUTCRAFT _This chapter is the result of the work of the Committee on Scout Oath, Scout Law, Tenderfoot, Second class and First class Requirements; the Committee on Badges, Awards, and Equipment; the Committee on Permanent Organization and Field Supervision, and John L. Alexander and Samuel A. Moffat_."
119,"Aim of the Scout Movement _By John L. Alexander, Boy Scouts of America_ The aim of the Boy Scouts is to supplement the various existing educational agencies, and to promote the ability in boys to do things for themselves and others."
120,It is not the aim to set up a new organization to parallel in its purposes others already established.
121,"The opportunity is afforded these organizations, however, to introduce into their programs unique features appealing to interests which are universal among boys."
122,"The method is summed up in the term Scoutcraft, and is a combination of observation, deduction, and handiness, or the ability to do things."
123,"Scoutcraft includes instruction in First Aid, Life Saving, Tracking, Signaling, Cycling, Nature Study, Seamanship, Campcraft, Woodcraft, Chivalry, Patriotism, and other subjects."
124,"This is accomplished in games and team play, and is pleasure, not work, for the boy."
125,"All that is needed is the out of doors, a group of boys, and a competent leader."
126,"What Scouting Means In all ages there have been scouts, the place of the scout being on the danger line of the army or at the outposts, protecting those of his company who confide in his care."
127,The army scout was the soldier who was chosen out of all the army to go out on the skirmish line.
128,"The pioneer, who was out on the edge of the wilderness, guarding the men, women, and children in the stockade, was also a scout."
129,"Should he fall asleep, or lose control of his faculties, or fail on his watch, then the lives of the men, women, and children paid the forfeit, and the scout lost his honor."
130,But there have been other kinds of scouts besides war scouts and frontier scouts.
131,"They have been the men of all ages, who have gone out on new and strange adventures, and through their work have benefited the people of the earth."
132,"Thus, Columbus discovered America, the Pilgrim Fathers founded New England, the early English settlers colonized Jamestown, and the Dutch built up New York."
133,In the same way the hardy Scotch Irish pushed west and made a new home for the American people beyond the Alleghanies and the Rockies.
134,These peace scouts had to be as well prepared as any war scouts.
135,"They had to know how to live in the woods, and be able to find their way anywhere, without other chart or compass than the sun and stars, besides being able to interpret the meaning of the slightest signs of the forest and the foot tracks of animals and men."
136,"They had to know how to live so as to keep healthy and strong, to face any danger that came their way, and to help one another."
137,These scouts of old were accustomed to take chances with death and they did not hesitate to give up their lives in helping their comrades or country.
138,"In fact, they left everything behind them, comfort and peace, in order to push forward into the wilderness beyond."
139,And much of this they did because they felt it to be their duty.
140,"These little known scouts could be multiplied indefinitely by going back into the past ages and reading the histories and stories of the knights of King Arthur, of the Crusaders, and of the great explorers and navigators of the world."
141,"Wherever there have been heroes, there have been scouts, and to be a scout means to be prepared to do the right thing at the right moment, no matter what the consequences may be."
142,The way for achievement in big things is the preparing of one's self for doing the big things by going into training and doing the little things well.
143,"It was this characteristic of Livingstone, the great explorer, that made him what he was, and that has marked the career of all good scouts."
144,"To be a good scout one should know something about the woods and the animals that inhabit them, and how to care for one's self when camping."
145,The habits of animals can be studied by stalking them and watching them in their native haunts.
146,The scout should never kill an animal or other living creature needlessly.
147,"There is more sport in stalking animals to photograph them, and in coming to know their habits than in hunting to kill."
148,But woodcraft means more than this.
149,"It means not only the following of tracks and other signs, but it means to be able to read them."
150,"To tell how fast the animal which made the tracks was going; to tell whether he was frightened, suspicious, or otherwise."
151,"Woodcraft also enables the scout to find his way, no matter where he is."
152,"It teaches him the various kinds of wild fruit, roots, nuts, etc., which are good for food, or are the favorite food of animals."
153,By woodcraft a scout may learn a great number of things.
154,"He may be able to tell whether the tracks were made by an animal or by man, bicycle, automobile or other vehicle."
155,"By having his power of observation trained he can tell by very slight signs, such as the sudden flying of birds, that someone is moving very near him though he may not be able to see the person."
156,"Through woodcraft then, a boy may train his eye, and be able to observe things that otherwise would pass unnoticed."
157,"In this way he may be able to save animals from pain, as a horse from an ill fitting harness."
158,He may also be able to see little things which may give him the clew to great things and so be able to prevent harm and crime.
159,Illustration: Horse with head pulled back.
160,Torture Illustration: Horse with head relaxed.
161,Comfort Besides woodcraft one must know something of camp life.
162,"One of the chief characteristics of the scout is to be able to live in the open, know how to put up tents, build huts, throw up a lean to for shelter, or make a dugout in the ground, how to build a fire, how to procure and cook food, how to bind logs together so as to construct bridges and rafts, and how to find his way by night as well as by day in a strange country."
163,"Living in the open in this way, and making friends of the trees, the streams, the mountains, and the stars, gives a scout a great deal of confidence and makes him love the natural life around him."
164,"Illustration: Camp loom, for making mats and mattresses."
165,"To be able to tell the difference between the trees by their bark and leaves is a source of pleasure; to be able to make a bed out of rough timber, or weave a mattress or mat out of grass to sleep on is a joy."
166,And all of these things a good scout should know.
167,"Then too, a good scout must be chivalrous."
168,"That is, he should be as manly as the knights or pioneers of old."
169,He should show benevolence and thrift.
170,He should be loyal to his country.
171,"He should be obedient to his parents, and show respect to those who are his superiors."
172,He should be very courteous to women.
173,One of his obligations is to do a good turn every day to some one.
174,"He should be cheerful and seek self improvement, and should make a career for himself."
175,All these things were characteristics of the old time American scouts and of the King Arthur knights.
176,"They were courteous and polite to women and children, especially to the aged, protected the weak, and helped others to live better."
177,"They taught themselves to be strong, so as to be able to protect their country against enemies."
178,"They kept themselves strong and healthy, so that they might be prepared to do all of these things at a moment's notice, and do them well."
179,"So the boy scout of to day must be chivalrous, manly, and gentlemanly."
180,"When he gets up in the morning he may tie a knot in his necktie, and leave the necktie outside his vest until he has done a good turn."
181,Another way to remind himself is to wear his scout badge reversed until he has done his good turn.
182,"The good turn may not be a very big thing help an old lady across the street; remove a banana skin from the pavement so that people may not fall; remove from streets or roads broken glass, dangerous to automobile or bicycle tires; give water to a thirsty horse; or deeds similar to these."
183,The scout also ought to know how to save life.
184,"He ought to be able to make a stretcher; to throw a rope to a drowning person; to drag an unconscious person from a burning building, and to resuscitate a person overcome by gas fumes."
185,"He ought also to know the method of stopping runaway horses, and he should have the presence of mind and the skill to calm a panic and deal with street and other accidents."
186,This means also that a boy scout must always be in the pink of condition.
187,A boy cannot do things like these unless he is healthy and strong.
188,"Therefore, he must be systematically taking exercise, playing games, running, and walking."
189,"It means that he must sleep enough hours to give him the necessary strength, and if possible to sleep very much in the open, or at least with the windows of his bedroom open both summer and winter."
190,"It means also that he should take a cold bath often, rubbing dry with a rough towel."
191,He should breathe through the nose and not through the mouth.
192,He should at all times train himself to endure hardships.
193,In addition to these the scout should be a lover of his country.
194,"How many states there are in it, what are its natural resources, scope, and boundaries."
195,"He ought to know something of its history, its early settlers, and of the great deeds that won his land."
196,How they settled along the banks of the James River.
197,"How Philadelphia, New York, and other great cities were founded."
198,How the Pilgrim Fathers established New England and laid the foundation for our national life.
199,How the scouts of the Middle West saved all that great section of the country for the Republic.
200,"He ought to know how Texas became part of the United States, and how our national heroes stretched out their hands, north and south, east and west, to make one great united country."
201,He ought to know the history of the important wars.
202,He ought to know about our army and navy flags and the insignia of rank of our officers.
203,"He ought to know the kind of government he lives under, and what it means to live in a republic."
204,"He ought to know what is expected of him as a citizen of his state and nation, and what to do to help the people among whom he lives."
205,"In short, to be a good scout is to be a well developed, well informed boy."
206,"Scout Virtues There are other things which a scout ought to know and which should be characteristic of him, if he is going to be the kind of scout for which the Boy Scouts of America stand."
207,"To be a good scout a boy must learn to obey the orders of his patrol leader, scout master, and scout commissioner."
208,"He must learn to obey, before he is able to command."
209,He should so learn to discipline and control himself that he will have no thought but to obey the orders of his officers.
210,"He should keep such a strong grip on his own life that he will not allow himself to do anything which is ignoble, or which will harm his life or weaken his powers of endurance."
211,Another virtue of a scout is that of courtesy.
212,A boy scout ought to have a command of polite language.
213,He ought to show that he is a true gentleman by doing little things for others.
214,Loyalty is also a scout virtue.
215,A scout ought to be loyal to all to whom he has obligations.
216,"He ought to stand up courageously for the truth, for his parents and friends."
217,Another scout virtue is self respect.
218,"He ought to refuse to accept gratuities from anyone, unless absolutely necessary."
219,He ought to work for the money he gets.
220,"For this same reason he should never look down upon anyone who may be poorer than himself, or envy anyone richer than himself."
221,"A scout's self respect will cause him to value his own standing and make him sympathetic toward others who may be, on the one hand, worse off, or, on the other hand, better off as far as wealth is concerned."
222,"Scouts know neither a lower nor a higher class, for a scout is one who is a comrade to all and who is ready to share that which he has with others."
223,The most important scout virtue is that of honor.
224,"Indeed, this is the basis of all scout virtues and is closely allied to that of self respect."
225,"When a scout promises to do a thing on his honor, he is bound to do it."
226,The honor of a scout will not permit of anything but the highest and the best and the manliest.
227,"The honor of a scout is a sacred thing, and cannot be lightly set aside or trampled on."
228,Faithfulness to duty is another one of the scout virtues.
229,"When it is a scout's duty to do something, he dare not shirk."
230,A scout is faithful to his own interest and the interests of others.
231,He is true to his country and his God.
232,"As the scout law intimates, he must never go about with a sulky air."
233,"He must always be bright and smiling, and as the humorist says, Must always see the doughnut and not the hole."
234,A bright face and a cheery word spread like sunshine from one to another.
235,It is the scout's duty to be a sunshine maker in the world.
236,"Another scout virtue is that of thoughtfulness, especially to animals; not merely the thoughtfulness that eases a horse from the pain of a badly fitting harness or gives food and drink to an animal that is in need, but also that which keeps a boy from throwing a stone at a cat or tying a tin can on a dog's tail."
237,"If a boy scout does not prove his thoughtfulness and friendship for animals, it is quite certain that he never will be really helpful to his comrades or to the men, women, and children who may need his care."
238,"And then the final and chief test of the scout is the doing of a good turn to somebody every day, quietly and without boasting."
239,This is the proof of the scout.
240,"It is practical religion, and a boy honors God best when he helps others most."
241,"A boy may wear all the scout uniforms made, all the scout badges ever manufactured, know all the woodcraft, campcraft, scoutcraft and other activities of boy scouts, and yet never be a real boy scout."
242,"To be a real boy scout means the doing of a good turn every day with the proper motive and if this be done, the boy has a right to be classed with the great scouts that have been of such service to their country."
243,To accomplish this a scout should observe the scout law.
244,Every boy ought to commit to memory the following abbreviated form of the Scout law.
245,The Twelve Points of the Scout Law
246,"The Boy Scout Organization Result of work of Committee on Permanent Organization and Field Supervision: H. S. Braucher, Chairman."
247,"Mortimer Schiff, Dr. George W. Ehler, C. M. Connolly, E. B. DeGroot, Lee F."
248,To do good scouting a boy must understand the organization of which he is a part.
249,The Boy Scouts of America is promoted and governed by a group of men called the National Council.
250,This National Council is made up of leading men of the country and it is their desire that every American boy shall have the opportunity of becoming a good scout.
251,The National Council holds one meeting annually at which it elects the officers and the members of the Executive Board.
252,"It copyrights badges and other scout designs, arranges for their manufacture and distribution, selects designs for uniforms and scout equipment, issues scout commissioners' and scout masters' certificates, and grants charters for local councils."
253,"A local council through its officers president, vice president, secretary, treasurer, and scout commissioner, its executive committee, court of honor, and other committees deals with all local matters that relate to scouting."
254,The scout commissioner is the ranking scout master of the local council and presides at all scout masters' meetings as well as at all scout field meets.
255,It is also the duty of the scout commissioner to report to and advise with the Chief Scout through the Executive Secretary concerning the scouts in his district.
256,The scout commissioner's certificate is issued from National Headquarters upon the recommendation of a local council after this council has been granted a charter.
257,"The scout master is the adult leader of a troop, and must be at least twenty one years of age."
258,"He should have a deep interest in boys, be genuine in his own life, have the ability to lead, and command the boys' respect and obedience."
259,He need not be an expert at scoutcraft; a good scout master will discover experts for the various activities.
260,His certificate is granted upon the recommendation of the local council.
261,An assistant scout master should be eighteen years of age or over.
262,His certificate is granted by the National Council upon the recommendation of the scout master of his troop and the local council.
263,Chief Scout and Staff The Chief Scout is elected annually by the National Council and has a staff of deputies each of whom is chairman of a committee of scoutcraft.
264,These deputies are as follows: Chief Scout Surgeon.
265,Scouts are graded as follows: Chief Scout and Staff.
266,How to Become a Boy Scout The easiest way to become a boy scout is to join a patrol that has already been started.
267,"This patrol may be in a Sunday School, Boys' Brigade, Boys' Club, Young Men's Christian Association, Young Men's Hebrew Association, Young Men's Catholic Association, or any other organization to which you may belong."
268,"If there is no patrol near you, get some man interested enough to start one by giving him all the information."
269,"A patrol consists of eight boys, one of whom becomes the patrol leader and another the assistant patrol leader."
270,"A troop consists of three or more patrols, and the leader of the troop is called a scout master."
271,There can be no patrols or troops of boy scouts without this scout master.
272,"The Scout Motto The motto of the boy scouts is Be Prepared, and the badge of the boy scouts is a copyrighted design with this motto, Be Prepared, on a scroll at its base."
273,"The motto, Be Prepared, means that the scout is always in a state of readiness in mind and body to do his duty."
274,"To be prepared in mind, by having disciplined himself to be obedient, and also by having thought out beforehand any accident or situation that may occur, so that he may know the right thing to do at the right moment, and be willing to do it."
275,"To be prepared in body, by making himself strong and active and able to do the right thing at the right moment, and then to do it."
276,"The Scout Badge The scout badge is not intended to represent the fleur de lis, or an arrowhead."
277,"It is a modified form of the sign of the north on the mariner's compass, which is as old as the history of navigation."
278,"The Chinese claim its use among them as early as B. C., and we have definite information that it was used at sea by them as early as A. D. Marco Polo brought the compass to Europe on his return from Cathay."
