,Sentences
24,"Ten years later, in another volume was issued, Senate Document h Congress, and it was followed in turn by Senate Document of the h Congress."
25,"In Congress authorized a further revision, this time by the Legislative Reference Service."
26,"Mr. Wilfred C. Gilbert, now the Assistant Director of the Service, was the editor of this volume which became Senate Document h Congress, and he has given counsel throughout the development of the present edition of this volume."
27,"After another decade of significant and far reaching judicial interpretation, the Senate Judiciary Committee reported out Senate Joint Resolution of the h Congress calling upon the Librarian of Congress for the preparation of the new work."
28,"However, because of the increase in responsibilities of the Legislative Reference Service, it was no longer feasible for it to undertake this additional burden with its regular staff."
29,"The Director of the Service, Dr. Ernest S. Griffith, suggested therefore that Dr. Edward S. Corwin be engaged to head the project with a collaborating staff to be furnished by the Legislative Reference Service."
30,"In my capacity at the time, as Chairman of the Senate Judiciary Committee, I was delighted to give my approval to this arrangement, for I recognized our particular good fortune in obtaining the services of an acknowledged authority for this highly significant and delicate enterprise."
31,"I should like now to express our thanks and appreciation to Dr. Corwin and to his collaborators from the Service, Dr. Norman J."
32,"Small, Assistant Editor, Miss Mary Louise Ramsey, and Dr. Robert J. Harris, for all their prodigious and skilled labors."
33,"Moreover, for their considerable efforts in connection with the detailed legislative and printing arrangements for the publication of this volume, I should like to express appreciation to Mr. Darrell St. Claire, Staff Member for the Senate Rules Committee, as well as Chief Clerk for the Joint Committee on the Library of Congress; and Mr. Julius N. Cahn, previously Executive Assistant to me when I was Chairman of the Judiciary Committee and now Counsel to the Senate Foreign Relations Committee."
34,"Initiated in the Republican h Congress, the project was undertaken With funds supplied by the succeeding Democratic t Congress, while the Democratic Congress extended its coverage to include Supreme Court decisions through June"
35,"The document thus represents Congressional nonpartisan activity at its best, as should ever be the case in our fidelity to this great charter."
36,"In the present volume, in addition to the annotations indicating the current state of interpretation, Dr. Corwin has undertaken to supply an historical background to the several lines of reasoning."
37,It is our hope and expectation that this introduction will prove of immense benefit to users in understanding the trends of judicial constitutional interpretation.
38,It is our further hope that this edition as a whole may serve a still larger purpose strengthening our understanding of and loyalty to the principles of this republic.
39,"In that way, the Constitution will remain the blueprint for freedom."
40,"It will continue as an inspiration for us of this blessed land, and for men and women everywhere; for they look to these shores as the lighthouse of freedom, in a world where the darkness of despotism hangs so heavily."
41,"_May _ Illustration: Alexander Wiley signature PREFACE For many years the Congress has felt the need for a handy, concise guide to the interpretation of the Constitution."
42,"An edition of the Constitution issued in as Senate Document Congress, took a step in this direction by supplying under each clause, a citation of Supreme Court decisions thereunder."
43,"This was obviously of limited usefulness, leaving the reader, as it did, to an examination of cases for any specific information."
44,In the matter received further consideration.
45,"Senate Resolution authorized preparation of a volume to contain the Constitution and its amendments, to January with citations to the cases of the Supreme Court of the United States construing its several provisions."
46,"This was issued as Senate Document of the h Congress, and was followed the next year by a similar volume annotating the cases through the October Term of the Supreme Court."
47,"Both of these volumes went somewhat beyond the mere enumeration of cases, carrying under the particular provisions of the Constitution a brief statement of the point involved in the principal cases cited."
48,"Thirteen years of Constitutional developments led Congress in to authorize a revision of the volume, and under authority of Senate Concurrent Resolution introduced by Senator Ashurst, Chairman of the Judiciary Committee, such a revision was prepared in the Legislative Reference Service and issued as Senate Document h Congress."
49,"This volume was, like its predecessors, dedicated to the need felt by Members for a convenient ready reference manual."
50,"However, so extensive and important had been the judicial interpretation of the Constitution in the interim that a very much larger volume was the result."
51,"After another decade, in the course of which many of the earlier interpretations were reviewed and modified, the Senate again moved for a revision of the Annotations."
52,"Senate Joint Resolution introduced by the then Chairman of the Judiciary Committee, Senator Alexander Wiley, again called upon the Library of Congress to undertake the work."
53,The confidence thus implied was most thoroughly appreciated.
54,"To meet his responsibilities, the Librarian called upon Dr. Edward S. Corwin to head the project."
55,"The collaborating staff, supplied by the Legislative Reference Service, included Dr. Norman J."
56,"Small as assistant editor, Miss Mary Louise Ramsey, and Robert J. Harris."
57,"This time, more than ever, the compilers faced a difficult task in balancing the prime requirement of a thorough and adequate annotation against the very practical desire to keep the results within convenient compass."
58,Work on the project was delayed until funds were made available.
59,"In consequence the annotations have been extended to a somewhat later date, covering decisions of the Supreme Court through June"
60,"Ernest S. Griffith, _Director, Legislative Reference Service._ EDITOR'S FOREWORD The purpose of this volume is twofold; first, to set forth so far as feasible the currently operative meaning of all provisions of the Constitution of the United States; second, to trace in the case of the most important provisions the course of decision and practice whereby their meaning was arrived at by the Constitution's official interpreters."
61,"Naturally, the most important source of material relied upon comprises relevant decisions of the Supreme Court; but acts of Congress and Executive orders and regulations have also been frequently put under requisition."
62,"Likewise, proceedings of the Convention which framed the Constitution have been drawn upon at times, as have the views of dissenting Justices and occasionally of writers, when it was thought that they would aid understanding."
63,That the Constitution has possessed capacity for growth in notable measure is evidenced by the simple fact of its survival and daily functioning in an environment so vastly different from that in which it was ordained and established by the American people.
64,Nor has this capacity resided to any great extent in the provision which the Constitution makes for its own amendment.
65,"Far more has it resided in the power of judicial review exercised by the Supreme Court, the product of which, and hence the record of the Court's achievement in adapting the Constitution to changing conditions, is our national Constitutional Law."
66,"Thus is explained the attention that has been given in some of these pages to the development of certain of the broader doctrines which have influenced the Court in its determination of constitutional issues, especially its conception of the nature of the Federal System and of the proper role of governmental power in relation to private rights."
67,"On both these great subjects the Court's thinking has altered at times on a few occasions to such an extent as to transcend Tennyson's idea of the law broadening from precedent to precedent and to amount to something strongly resembling a juridical revolution, bloodless but not wordless."
68,"The first volume of Reports which issued from the Court following Marshall's death Peters signalizes such a revolution, that is to say, a recasting of fundamental concepts; so does years later, Volume of the United States Reports, in which the National Labor Relations Act The Wagner Act and the Social Security Act of were sustained."
69,Another considerable revolution was marked by the Court's acceptance in of the theory that the word liberty in the Fourteenth Amendment rendered the restrictions of the First Amendment upon Congress available also against the States.
70,"In the preparation of this volume constant use has been made of The Constitution of the United States of America Annotated, which was brought out under the editorship of Mr. W.C. Gilbert in"
71,Its copious listing of cases has been especially valuable.
72,Its admirable Tables of Contents and Index have furnished a model for those of the present volume.
73,If this model has been approximated the contents of this volume ought to be readily accessible despite its size.
74,"The coverage of the volume ends with the cases decided June,"
75,A personal word or two must be added.
76,"The Editor was invited to undertake this project by Dr. Ernest S. Griffith, Director of the Legislative Reference Service of the Library of Congress, and his constant interest in the progress of our labors has been a tremendous source of encouragement."
77,To his able collaborators the Editor will not attempt to express his appreciation they share with him the credit for such merits as the work possesses and responsibility for its short comings.
78,And I am sure that they join me in thanking Miss Evelyn K. Mayhugh for her skill and devotion in aiding us at every step in our common task.
79,"INTRODUCTION It is my purpose in this Introduction to the _Constitution of the United States, Annotated_ to sketch rapidly certain outstanding phases of the Supreme Court's interpretation of the Constitution for the illustration they may afford of the interests, ideas, and contingencies which have from time to time influenced the Court in this still supremely important area of its powers and of the comparable factors which give direction to its work in the same field at the present time."
80,"As employed in this country, Constitutional Law signifies a body of rules resulting from the interpretation by a high court of a written constitutional instrument in the course of disposing of cases in which the validity, in relation to the constitutional instrument, of some act of governmental power, State or national, has been challenged."
81,"This function, conveniently labelled Judicial Review, involves the power and duty on the part of the Court of pronouncing void any such act which does not square with its own reading of the constitutional instrument."
82,"Theoretically, therefore, it is a purely juristic product, and as such does not alter the meaning."
83,"To those who hold this theory, the Court does not elaborate the instrument, as legislative power might; it elucidates it, bringing forth into the light of day, as it were, what was in the instrument from the first."
84,"In the case of judicial review as exercised by the Supreme Court of the United States in relation to the national Constitution, its preservative character has been at times a theme of enthusiastic encomium, as in the following passage from a speech by the late Chief Justice White, made shortly before he ascended the Bench: ..."
85,The glory and ornament of our system which distinguishes it from every other government on the face of the earth is that there is a great and mighty power hovering over the Constitution of the land to which has been delegated the awful responsibility of restraining all the coordinate departments of government within the walls of the governmental fabric which our fathers built for our protection and immunity.
86,"At other times the subject has been dealt with less enthusiastically, even skeptically."
87,One obstacle that the theory encountered very early was the refusal of certain Presidents to regard the Constitution as primarily a source of rules for judicial decision.
88,"It was rather, they urged, a broadly discretionary mandate to themselves and to Congress."
89,"And pursuing the logic of this position, they contended that while the Court was undoubtedly entitled to read the Constitution independently for the purpose of deciding cases, this very purpose automatically limited the authoritativeness of its readings; and that within their respective jurisdictions President and Congress enjoyed the same correlative independence as the Court did within its jurisdiction."
90,"This was, in effect, the position earlier of Jefferson and Jackson, later of Lincoln, and in recent times that of the two Roosevelts."
91,Another obstacle has been of the Court's own making.
92,"Whether because of the difficulty of amending the Constitution or for cautionary reasons, the Court took the position, as early as that it would reverse previous decisions on constitutional issues when convinced they were erroneous."
93,"An outstanding instance of this nature was the decision in the Legal Tender cases, in reversing the decision which had been rendered in Hepburn _v._ Griswold fifteen months earlier; and no less shattering to the prestige of _stare decisis_ in the constitutional field was the Income Tax decision of in which the Court accepted Mr. Joseph Choate's invitation to correct a century of error ."
94,"The constitutional revolution of produced numerous reversals of earlier precedents on the ground of error , some of them, the late Mr. James M. Beck complained, without the obsequious respect of a funeral oration ."
95,In Justice Reed cited fourteen cases decided between March and June in which one or more prior constitutional decisions were overturned.
96,"On the same occasion Justice Roberts expressed the opinion that adjudications of the Court were rapidly gravitating into the same class as a restricted railroad ticket, good for this day and train only ."
97,"Years ago the eminent historian of the Supreme Court, Mr. Charles Warren, had written: However the Court may interpret the provisions of the Constitution, it is still the Constitution which is the law and not the decision of the Court."
98,"In short, it is not necessarily so that the Constitution is preserved in the Court's reading of it."
99,A third difficulty in the way of the theory that Judicial Review is preservative of the Constitution is confronted when we turn to consider the statistical aspects of the matter.
100,The suggestion that the Constitution of the United States contained in embryo from the beginning the entirety of our national Constitutional Law confronts the will to believe with an altogether impossible test.
101,"Compared with the Constitutional Document, with its words more or less, the bulk of material requiring to be noticed in the preparation of an annotation of this kind is simply immense."
102,"First and last, the Court has probably decided well over cases involving questions of constitutional interpretation."
103,"In many instances, to be sure, the constitutional issue was disposed of quite briefly."
104,"In some instances, on the other hand, the published report of the case runs to more than pages."
105,"In the total, it is probable that at least pages of the United States Supreme Court Reports are devoted to Constitutional Law topics."
106,"Nor is this the whole story, or indeed the most important part of it."
107,"Even more striking is the fact that the vast proportion of cases forming the corpus of national Constitutional Law has stemmed, or has purported to stem, from four or five brief phrases of the Constitutional Document, the power to regulate ... commerce among the States, impairment of the obligation of contracts , deprivation of liberty or property without due process of law , and out of four or five doctrines which the Constitution is assumed to embody."
108,"The latter are, in truth, the essence of the matter, for it is through these doctrines, and under the cover which they afford, that outside interests, ideas, preconceptions, have found their way into Constitutional Law, have indeed become for better, for worse, its leavening element."
109,"That is to say, the effectiveness of Constitutional Law as a system of restraints on governmental action in the United States, which is its primary _raison d'etre_, depends for the most part on the effectiveness of these doctrines as they are applied by the Court to that purpose."
110,"The doctrines to which I refer are the doctrine or concept of Federalism; the doctrine of the Separation of Powers; the concept of a Government of Laws and not of Men, as opposed especially to indefinite conceptions of presidential power; and the substantive doctrine of Due Process of Law and attendant conceptions of Liberty."
111,"What I proposed to do is to take up each of these doctrines or concepts in turn, tell something of their earlier history, and then project against this background a summary account of what has happened to them in recent years in consequence of the impact of war, of economic crisis, and of the political and ideological reaction to the latter during the Administrations of Franklin D. Roosevelt."
112,"I Federalism Federalism in the United States embraces the following elements: as in all federations, the union of several autonomous political entities, or States, for common purposes; the division of legislative powers between a National Government, on the one hand, and constituent States, on the other, which division is governed by the rule that the former is a government of enumerated powers while the latter are governments of residual powers ; the direct operation, for the most part, of each of these centers of government, within its assigned sphere, upon all persons and property within its territorial limits; the provision of each center with the complete apparatus of law enforcement, both executive and judicial; the supremacy of the National Government within its assigned sphere over any conflicting assertion of state power; dual citizenship."
113,"The third and fourth of the above listed salient features of the American Federal System are the ones which at the outset marked it off most sharply from all preceding systems, in which the member states generally agreed to obey the mandates of a common government for certain stipulated purposes, but retained to themselves the right of ordaining and enforcing the laws of the union."
114,"This, indeed, was the system provided in the Articles of Confederation."
115,"The Convention of was well aware, of course, that if the inanities and futilities of the Confederation were to be avoided in the new system, the latter must incorporate a coercive principle ; and as Ellsworth of Connecticut expressed it, the only question was whether it should be a coercion of law, or a coercion of arms, that coercion which acts only upon delinquent individuals or that which is applicable to sovereign bodies, states, in their political capacity."
116,"In Judicial Review the former principle was established, albeit without entirely discarding the latter, as the War between the States was to demonstrate."
117,"The sheer fact of Federalism enters the purview of Constitutional Law, that is, becomes a judicial concept, in consequence of the conflicts which have at times arisen between the idea of State Autonomy and the principle of National Supremacy."
118,"Exaltation of the latter principle, as it is recognized in the Supremacy Clause of the Constitution, was the very keystone of Chief Justice Marshall's constitutional jurisprudence."
119,"It was Marshall's position that the supremacy clause was intended to be applied literally, so that if an unforced reading of the terms in which legislative power was granted to Congress confirmed its right to enact a particular statute, the circumstance that the statute projected national power into a hitherto accustomed field of state power with unavoidable curtailment of the latter was a matter of indifference."
120,"State power, as Madison in his early nationalistic days phrased it, was no criterion of national power, and hence no independent limitation thereof."
121,"Quite different was the outlook of the Court over which Marshall's successor, Taney, presided."
122,"That Court took as its point of departure the Tenth Amendment, which reads, The powers not delegated to the United States by this Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people."
123,"In construing this provision the Court under Taney sometimes talked as if it regarded all the reserved powers of the States as limiting national power; at other times it talked as if it regarded certain subjects as reserved exclusively to the States, slavery being, of course, the outstanding instance."
124,"But whether following the one line of reasoning or the other, the Taney Court subtly transformed its function, and so that of Judicial Review, in relation to the Federal System."
125,Marshall viewed the Court as primarily an organ of the National Government and of its supremacy.
126,"The Court under Taney regarded itself as standing outside of and above both the National Government and the States, and as vested with a quasi arbitral function between two centers of diverse, but essentially equal, because sovereign , powers."
127,"Thus in Ableman _v._ Booth, which was decided on the eve of the War between the States, we find Taney himself using this arresting language: This judicial power was justly regarded as indispensable, not merely to maintain the supremacy of the laws of the United States, but also to guard the States from any encroachment upon their reserved rights by the general government...."
128,"So long ... as this Constitution shall endure, this tribunal must exist with it, deciding in the peaceful forms of judicial proceeding, the angry and irritating controversies between sovereignties, which in other countries have been determined by the arbitrament of force."
129,"It is, therefore, the Taney Court, rather than the Marshall Court, which elaborated the concept of Dual Federalism."
130,"Marshall's federalism is more aptly termed national federalism; and turning to modern issues, we may say without exaggeration that the broad general constitutional issue between the Court and the Franklin D. Roosevelt program in such cases as Schechter Corp. _v._ United States and Carter _v._ Carter Coal Co. was, whether Marshall's or Taney's brand of federalism should prevail."
131,"More precisely, the issue in these cases was whether Congress' power to regulate commerce must stop short of regulating the employer employee relationship in industrial production, that having been hitherto regulated by the States."
132,"In Justice Sutherland's words in the Carter case: Much stress is put upon the evils which come from the struggle between employers and employees over the matter of wages, working conditions, the right of collective bargaining, etc., and the resulting strikes, curtailment and irregularity of production and effect on prices; and it is insisted that interstate commerce is greatly affected thereby...."
133,The conclusive answer is that the evils are all local evils over which the Federal Government has no legislative control.
134,The relation of employer and employee is a local relation.
135,"At common law, it is one of the domestic relations."
136,The wages are paid for the doing of local work.
137,Working conditions are obviously local conditions.
138,"The employees are not engaged in or about commerce, but exclusively in producing a commodity."
139,"And the controversies and evils, which it is the object of the act to regulate and minimize, are local controversies and evils affecting local work undertaken to accomplish that local result."
140,"Such effect as they may have upon commerce, however extensive it may be, is secondary and indirect."
141,An increase in the greatness of the effect adds to its importance.
142,It does not alter its character.
143,We all know how this issue was finally resolved.
144,"In the Fair Labor Standards Act of Congress not only prohibits interstate commerce in goods produced by substandard labor, but it directly forbids, with penalties, the employment of labor in industrial production for interstate commerce on other than certain prescribed terms."
145,"And in United States _v._ Darby this Act was sustained by the Court, in all its sweeping provisions, on the basis of an opinion by Chief Justice Stone which in turn is based on Chief Justice Marshall's famous opinions in McCulloch _v._ Maryland and Gibbons _v._ Ogden rendered more than a century and a quarter ago."
146,"In short, as a principle capable of delimiting the national legislative power, the concept of Dual Federalism as regards the present Court seems today to be at an end, with consequent aggrandizement of national power."
147,"There is, however, another side to the story."
148,For in one respect even the great Marshall has been in effect overruled in support of enlarged views of national authority.
149,"Without essaying a vain task of tithing mint, anise and cummin, it is fairly accurate to say that throughout the years which lie between Marshall's death and the cases of the s, the conception of the federal relationship which on the whole prevailed with the Court was a competitive conception, one which envisaged the National Government and the States as jealous rivals."
150,"To be sure, we occasionally get some striking statements of contrary tendency, as in Justice Bradley's opinion in for a divided Court in the Siebold Case, where is reflected recognition of certain results of the War between the States; or later in a frequently quoted dictum by Justice McKenna, in Hoke _v._ United States, in which the Mann White Slave Act was sustained in Our dual form of government has its perplexities, State and Nation having different spheres of jurisdiction ... but it must be kept in mind that we are one people; and the powers reserved to the states and those conferred on the nation are adapted to be exercised, whether independently or concurrently, to promote the general welfare, material and moral."
151,"The competitive concept is, nevertheless, the one much more generally evident in the outstanding results for American Constitutional Law throughout three quarters of its history."
152,"Of direct pertinence in this connection is the doctrine of tax exemption which converted federalism into a principle of private immunity from taxation, so that, for example, neither government could tax as income the official salaries paid by the other government."
153,"This doctrine traces immediately to Marshall's famous judgment in McCulloch _v._ Maryland, and bespeaks a conception of the federal relationship which regards the National Government and the States as bent on mutual frustration."
154,"Today the principle of tax exemption, except so far as Congress may choose to apply it to federal instrumentalities by virtue of its protective powers under the necessary and proper clause, is at an end."
155,By the cooperative conception of the federal relationship the States and the National Government are regarded as mutually complementary parts of a single governmental mechanism all of whose powers are intended to realize the current purposes of government according to their applicability to the problem in hand.
156,This is the conception on which the recent social and economic legislation professes to rest.
157,It is the conception which the Court invokes throughout its decisions in sustaining the Social Security Act of and supplementary state legislation.
158,"It is the conception which underlies congressional legislation of recent years making certain crimes against the States, like theft, racketeering, kidnapping, crimes also against the National Government whenever the offender extends his activities beyond state boundary lines."
159,The usually cited constitutional justification for such legislation is that which was advanced forty years ago in the above quoted Hoke Case.
160,"It has been argued that the cooperative conception of the federal relationship, especially as it is realized in the policy of federal subventions to the States, tends to break down state initiative and to devitalize state policies."
161,"Actually, its effect has often been just the contrary, and for the reason pointed out by Justice Cardozo in Helvering _v._ Davis, decided in namely, that the States, competing as they do with one another to attract investors, have not been able to embark separately upon expensive programs of relief and social insurance."
162,Another great objection to Cooperative Federalism is more difficult to meet.
163,"This is, that Cooperative Federalism invites further aggrandizement of national power."
164,"Unquestionably it does, for when two cooperate, it is the stronger member of the combination who usually calls the tunes."
165,"Resting as it does primarily on the superior fiscal resources of the National Government, Cooperative Federalism has been, at least to date, a short expression for a constantly increasing concentration of power at Washington in the stimulation and supervision of local policies."
166,"The last element of the concept of Federalism to demand attention is the doctrine that the National Government is a government of enumerated powers only, and consequently under the necessity at all times of justifying its measures juridically by pointing to some particular clause or clauses of the Constitution which, when read separately or in combination, may be thought to grant power adequate to such measures."
167,"In spite of such recent decisions as that in United States _v._ Darby, this time honored doctrine still guides the authoritative interpreters of the Constitution in determining the validity of acts which are passed by Congress in presumed exercise of its powers of domestic legislation the course of reasoning pursued by the Chief Justice in the Darby Case itself is proof that such is the fact."
168,"In the field of foreign relations, on the contrary, the doctrine of enumerated powers has always had a difficult row to hoe, and today may be unqualifiedly asserted to be defunct."
169,"As early as the old case of Penhallow _v._ Doane, which was decided by the Supreme Court in certain counsel thought it pertinent to urge the following conception of the War Power: A formal compact is not essential to the institution of a government."
170,"Every nation that governs itself, under what form soever, without any dependence on a foreign power, is a sovereign state."
171,In every society there must be a sovereignty.
172,"The powers of war form an inherent characteristic of national sovereignty; and, it is not denied, that Congress possessed those powers.... To be sure, only two of the Justices felt it necessary to comment on this argument, which one of them endorsed, while the other rejected it."
173,Yet seventy five years later Justice Bradley incorporated closely kindred doctrine into his concurring opinion in the Legal Tender Cases; and in the years following the Court itself frequently brought the same general outlook to questions affecting the National Government's powers in the field of foreign relations.
174,"Thus in the Chinese Exclusion Case, decided in Justice Field, in asserting the unlimited power of the National Government, and hence of Congress, to exclude aliens from American shores, remarked: While under our Constitution and form of government the great mass of local matters is controlled by local authorities, the United States, in their relation to foreign countries and their subjects or citizens, are one nation, invested with the powers which belong to independent nations, the exercise of which can be invoked for the maintenance of its absolute independence and security throughout its entire territory."
175,And four years later the power of the National Government to deport alien residents at the option of Congress was based by Justice Gray on the same general reasoning.
176,"Finally, in Justice Sutherland, speaking for the Court in United States _v._ Curtiss Wright Corporation, with World War I a still recent memory, took over bodily counsel's argument of years earlier, and elevated it to the head of the column of authoritative constitutional doctrine."
177,He said: A political society cannot endure without a supreme will somewhere.
178,Sovereignty is never held in suspense.
179,"When, therefore, the external sovereignty of Great Britain in respect of the colonies ceased, it immediately passed to the Union...."
180,It results that the investment of the Federal government with the powers of external sovereignty did not depend upon the affirmative grants of the Constitution.
181,"The powers to declare and wage war, to conclude peace, to make treaties, to maintain diplomatic relations with other sovereignties, if they had never been mentioned in the Constitution, would have vested in the Federal government as a necessary concomitant of nationality."
182,"In short, the power of the National Government in the field of international relationship is not simply a complexus of particular enumerated powers; it is an inherent power, one which is attributable to the National Government on the ground solely of its belonging to the American People as a sovereign political entity at International Law."
183,"In that field the principle of Federalism no longer holds, if it ever did."
184,II The Separation of Powers The second great structural principle of American Constitutional Law is supplied by the doctrine of the Separation of Powers.
185,"The notion of three distinct functions of government approximating what we today term the legislative, the executive, and the judicial, is set forth in Aristotle's Politics, but it was the celebrated Montesquieu who, by joining the idea to the notion of a mixed constitution of checks and balances , in Book XI of his Spirit of the Laws, brought Aristotle's discovery to the service of the rising libertarianism of the eighteenth century."
186,It was Montesquieu's fundamental contention that men entrusted with power tend to abuse it .
187,"Hence it was desirable to divide the powers of government, first, in order to keep to a minimum the powers lodged in any single organ of government; secondly, in order to be able to oppose organ to organ."
188,In the United States libertarian application of the principle was originally not too much embarrassed by inherited institutions.
189,"In its most dogmatic form the American conception of the Separation of Powers may be summed up in the following propositions: There are three intrinsically distinct functions of government, the legislative, the executive, and the judicial; these distinct functions ought to be exercised respectively by three separately manned departments of government; which, should be constitutionally equal and mutually independent; and finally, a corollary doctrine stated by Locke the legislature may not delegate its powers."
190,"Prior even to Franklin D. Roosevelt this entire colligation of ideas had been impaired by three developments in national governmental practice: first, the growth of Presidential initiative in legislation; secondly, the delegation by Congress of legislative powers to the President; thirdly, the delegation in many instances of like powers to so called independent agencies or commissions, in which are merged in greater or less measure the three powers of government of Montesquieu's postulate."
191,"Under Roosevelt the first two of these developments were brought to a pitch not formerly approximated, except temporarily during World War I."
192,"The truth is that the practice of delegated legislation is inevitably and inextricably involved with the whole idea of governmental intervention in the economic field, where the conditions to be regulated are of infinite complexity and are constantly undergoing change."
193,"Granted such intervention, it is simply out of the question to demand that Congress should attempt to impose upon the shifting and complex scene the relatively permanent molds of statutory provision, unqualified by a large degree of administrative discretion."
194,One of the major reasons urged for governmental intervention is furnished by the need for gearing the different parts of the industrial process with one another for a planned result.
195,"In wartime this need is freely conceded by all; but its need in economic crisis is conceivably even greater, the results sought being more complex."
196,"So in the interest both of unity of design and of flexibility of detail, presidential power today takes increasing toll from both ends of the legislative process both from the formulation of legislation and from its administration."
197,"In other words, as a barrier capable of preventing such fusion of presidential and congressional power, the principle of the Separation of Powers does not appear to have retained much of its original effectiveness; for on only one occasion prior to the disallowance, in Youngstown _v._ Sawyer, President Truman's seizure in April of the steel industry has the Court been constrained to condemn, as in conflict with that principle, a congressional delegation of legislative power."
198,"Indeed, its application in the field of foreign relations has been virtually terminated by Justice Sutherland's opinion in the Curtiss Wright Case."
199,"The Youngstown Opinion appears to rest on the proposition that since Congress could have ordered the seizure, e.g., under the necessary and proper clause, the President, in making it on his own, usurped legislative power and thereby violated the principle of the Separation of Powers."
200,"In referring to this proposition, the Chief Justice quoted as follows from a brief of the then Solicitor General of the United States on this same question: The function of making laws is peculiar to Congress, and the Executive can not exercise that function to any degree."
201,But this is not to say that all of the _subjects_ concerning which laws might be made are perforce removed from the possibility of Executive influence.
202,"The Executive may act upon things and upon men in many relations which have not, though they might have, been actually regulated by Congress."
203,"In other words, just as there are fields which are peculiar to Congress and fields which are peculiar to the Executive, so there are fields which are common to both, in the sense that the Executive may move within them until they shall have been occupied by legislative action."
204,"These are not the fields of legislative prerogative, but fields within which the lawmaking power may enter and dominate whenever it chooses."
205,"This situation results from the fact that the President is the active agent, not of Congress, but of the Nation."
206,"Or, in more general terms, the fact that one of the three departments may apply its distinctive techniques to a certain subject matter sheds little or no light on the question whether one of the other departments may deal with the same subject matter according to its distinctive techniques."
207,"Indeed, were it otherwise, the action of the Court in disallowing President Truman's seizure order would have been of very questionable validity, inasmuch as the President himself conceded that Congress could do so."
208,The conception of the Separation of Powers doctrine advanced in Youngstown appears to have been an ad hoc discovery for the purpose of disposing of that particular case.
209,"To sum up the argument to this point: War, the Roosevelt Truman programs, and the doctrines of Constitutional Law on which they rest, and the conception of governmental function which they incorporate, have all tremendously strengthened forces which even earlier were making, slowly, to be sure, but with the inevitability of gradualness, for the concentration of governmental power in the United States, first in the hands of the National Government; and, secondly, in the hands of the national Executive."
