,Sentences
43,"It is henceforth open to science to transcend all we now think we know of matter, and to gain new glimpses of a profounder scheme of Cosmic Law."
44,"In old Egyptian days a well known inscription was carved over the portal of the Temple of Isis: 'I am whatever has been, is, or ever will be; and my veil no man hath yet lifted.'"
45,Not thus do modern seekers after truth confront Nature the word that stands for the baffling mysteries of the Universe.
46,"Steadily, unflinchingly, we strive to pierce the inmost heart of Nature, from what she is, to reconstruct what she has been, and to prophesy what she yet shall be."
47,"Veil after veil we have lifted, and her face grows more beautiful, august and wonderful with every barrier that is withdrawn."
48,"Camille Flamarrion, the eminent French astronomer, is a believer in Thought Transference and Mind Reading, and has written the following expression of his convictions on this subject: We sum up, therefore, our preceding observations by the conclusion that _one mind can act at a distance upon another, without the habitual medium of words, or any other visible means of communication_."
49,It appears to us altogether unreasonable to reject this conclusion if we accept the facts.
50,"There is nothing unscientific, nothing romantic, in admitting that an idea can influence the brain from a distance."
51,"The action of one human being upon another, from a distance is a scientific fact; it is as certain as the existence of Paris, of Napoleon, of Oxygen, or of Sirius."
52,"The same authority has also said There can be no doubt that our psychical force creates a movement of the ether, _which transmits itself afar like all movements of ether and becomes perceptible to brains in harmony with our own_."
53,"The transformation of a psychic action into an ethereal movement, and the reverse, may be analogous to what takes place on a telephone, where the receptive plate, which is identical with the plate at the other end, reconstructs the sonorous movement transmitted, not by means of sound, but by electricity."
54,"We have quoted at length from this eminent authority to show once and for all that this great science of MIND READING is recognized, and approved of by the highest authorities on Modern Science, and also to give our students the benefit of the current scientific theories upon the subject."
55,"In this work we have but very little to say about theory, but shall confine ourselves to facts, and actual instruction."
56,"Science knows and has proven that thoughts may be and have been transmitted from one mind to another, in some cases over thousands of miles of space, but it has not as yet solved the mystery of the Why of the subject, and contents itself with explaining the How."
57,"The nearest approach to a correct theory seems to be the one which compares the mind with the wireless telegraph, and which supposes that the vibrations of thought travel through the ether, just as do the waves of this high order of electricity."
58,"The mind of one person acts like a transmitter of the wireless telegraph, while the mind of the other acts as a receiver of the same set of instruments."
59,"There are undoubtedly vibrations set up in the brain when one thinks, and there are undoubtedly waves of thought just as there are waves of electricity."
60,"Science informs us that there is an increase of temperature in the human brain during periods of thought activity, and also that there are constant chemical changes in the structure going on when the brain cells are active."
61,"This is akin to the generation of electricity in a battery, and undoubtedly acts in the same way in producing vibrations, and transmitting them to the brain of another."
62,"Sir William Crookes, in the address just quoted, points out the direction of the scientific theories concerning the matter."
63,"But, this is all that we shall have to say about the theory of Mind Reading."
64,We shall now pass on to the actual practical instruction.
65,"The student is asked, however, to always carry in his mind the fact that Mind travels in waves from one brain to another just as electricity travels from the Transmitter to the Receiver."
66,"By holding this picture in your mind, you will have the whole practical theory, in condensed form, right before you, so that you may be able to act accordingly."
67,"As we have said in the previous chapter, the general public is gradually awakening to the knowledge of the reality of Mental Transference, and it is scarcely necessary to devote the time and space to a proof of the reality of the phenomena in these days, although a few years ago a work on the subject would have had to be composed principally of evidences and proofs."
68,"But, nevertheless, it may be well for us to take a hasty look at the nature of the proof in this work."
69,Nearly everyone has had evidences of Mind Reading or Thought Transference in his or her own life.
70,"Nearly every one has had experiences of being in a person's company when one of the two would make a remark and the other, somewhat startled, would exclaim, Why, that's just what I was going to say, or words to that effect."
71,Nearly every one has had experiences of knowing what a second person was going to say before the person spoke.
72,"And, likewise common is the experience of thinking of a person a few moments before the person came into sight."
73,"Many of us have suddenly found ourselves thinking of a person who had been out of our minds for months, or years, when all of a sudden the person himself would appear."
74,"These instances are so common as to be generally recognized, without question."
75,"These occurrences have given rise to the two common sayings, viz., Speak of the devil and his imps appear, or Speak of angels and you hear the rustle of their wings."
76,"Mark Twain, in an article printed several years ago, spoke of a plan that he had frequently practiced, i.e., that of writing a letter to a person upon some subject, then addressing the envelope and inserting the letter, and then tearing the whole thing into pieces instead of sending it."
77,"He stated that in a large percentage of such cases he would receive within a short time a letter from the person to whom the destroyed letter had been addressed, answering the questions asked, or else speaking along the same lines as those of the destroyed letter."
78,"We have known of this experiment being tried on people thousands of miles away from the writer, and also in cases in which the other person had not been heard of for many years."
79,There is a field open for experiment along these lines which some of our students might investigate with profit and satisfaction.
80,Perhaps the best available evidence of Mind Reading at the disposal of the public to day is that found in the records of the English Society for Psychical Research.
81,The experiments of the members of this Society and other investigators have resulted in the piling up of a mass of facts more than sufficient to fully establish the correctness of the theory of Mind Reading.
82,"Series of carefully managed experiments have been conducted, the results of which have conclusively proven that the thought waves set into motion by the mind of one person may be consciously received by the mind of another."
83,"We shall quote here from the reports of those investigators, in order to show you the important results that have been obtained, and to set at rest forever any lurking doubts as to the reality of the phenomena which may still find lodgment in your mind."
84,"Remember, please, that these committees were composed of some of the leading scientific authorities of England men whose standing and reliability, as well as whose judgment, was beyond question."
85,These cases form a part of the scientific records of the English Society.
86,One of the interesting series of experiments conducted by members of the English Society was that of the family of the Rev.
87,This investigation was made upon hearing the report of the Rev.
88,Mr. Creery regarding a number of experiments he had conducted with his four children.
89,"He reported that he had begun by practicing a variation of what is generally known as the willing game , in which one of the party leaves the room, and the company selects some object to be hidden, after which the person is recalled to the room when the company concentrates its mind upon the hidden object, and the seeker eventually finds it by means of Mind Reading."
90,"The reverend gentleman said in his report to the Society: We began by selecting the simplest objects in the room; then chose names of towns, people, dates, cards out of a pack, lines from different poems, etc., any thing or series of ideas that those present could keep before the mind steadily."
91,The children seldom made a mistake.
92,"I have seen seventeen cards chosen by myself, named right in succession without any mistake."
93,"We soon found that a great deal depended upon the steadiness with which the ideas were kept before the minds of the thinkers, and upon the energy with which they willed the ideas to pass."
94,I may say that this faculty is not confined to the members of one family; it is much more general than we imagine.
95,"To verify this conclusion I invited two of a neighbor's children to join us in our experiment, and very excellent results we secured from them."
96,The Society then began a series of careful investigations extending over a period of one year.
97,"The utmost care was taken to obviate the chance of fraud, collusion, mistakes, or outside influences."
98,The experiments were conducted partly in Mr. Creery's house and partly in rooms selected by the members of the investigating committee.
99,"Having selected at random one of the children, the child would be taken from the room and accompanied by a member of the committee would wait out of sight or hearing of the room."
100,"The remainder of the committee would then select a card from a pack, or else write down a name or number which occurred to them at the moment."
101,The following verbatim report of what followed will give you an idea of the results generally obtained.
102,"The report goes on to say: On re entering the room the little girl would usually stand with her face to the wall, placed thus by us."
103,"But sometimes she would stand with her eyes directed toward the ground for a period of silence varying from a few seconds to a minute, till she called out to us some number, card or what it might be."
104,"The report states that in the case of giving the names of objects chosen, the child scored six cases out of fourteen."
105,"In the case of naming of small objects held in the hands of members of the committee, she scored _five out of six_."
106,In the case of naming cards she scored six out of thirteen.
107,"In the case of stating fictitious names chosen by the committee she scored, at a first trial, five out of ten."
108,"One of the experiments is reported as follows: One of the children was sent into an adjoining room, the door of which was closed."
109,The committee then thought of some object in the house and wrote the name down on paper.
110,We then all silently thought of the name of the thing selected.
111,"In a few seconds the door of the adjoining room opened, and the child would appear _generally with the object selected_."
112,"No one was allowed to leave the room after the object had been fixed upon; no communication with the child was conceivable, as her place was often changed."
113,"Further, the only instructions given to the child were to fetch some object in the house that we would fix upon and would keep in mind to the exclusion of all other ideas."
114,"In this way we wrote down, among other things, a hairbrush it was brought; an orange it was brought; a wine glass it was brought; an apple it was brought, etc., etc."
115,The report to the Society sums up the following results: Three hundred and eighty two trials were made in the series.
116,"In the test of naming the chosen letters of the alphabet, cards, and numbers of two figures, the chances against the girl were to to and to respectively."
117,In the case of stating chosen surnames the odds against her were very much in excess of the figures just named.
118,"In the cases of the experiments of naming chosen cards it was calculated that a mere guesser, according to the law of probability, would be able to correctly name _but seven and one third_ out of a total of the three hundred and eighty two trials."
119,"The actual results obtained by the child were as follows: On the first attempt, _one hundred and twenty seven_; on the second attempt, fifty six additional; and on the third attempt, _nineteen additional_ making a grand total of two hundred and two successes _out of a possible three hundred and eighty two_"
120,On one occasion _five cards straight running_ were successfully named on a first trial.
121,"The mathematical chances of a mere guess doing this feat, under the Law of Average, or Probabilities, are estimated at over _a million to one against the chance_."
122,"And this was not merely an isolated, exceptional case, for there were other long runs ; for instance, there were two cases in which runs of _eight straight consecutive successes_ were scored, once with names, and once with cards."
123,In the case of the eight consecutive cards it has been figured that the chances against the girl would figure up at least to according to the Law of Average and Probabilities.
124,"To understand just what this means it may help you if you will think that the feat was like picking out one chosen man in a population of one hundred and forty millions, nearly double the population of the United States."
125,"And yet there are people who would dismiss matters like this with the remark, mere coincidence"
126,"The interest in the Creery children attracted the notice of Prof. Balfour Stewart, LL.D., and Fellow of the Royal Society."
127,"This distinguished gentleman testifies as follows: In the first instance, when I was present, the thought reader was outside a door."
128,The object or thing thought of was written on paper and silently handed to the company in the room.
129,"The thought reader was then called in, and in the course of perhaps a minute the answer was given."
130,"Definite objects in the room, for instance, were first thought of, and in the majority of cases the answers were correct."
131,"These numbers were thought of and the answers were generally right, but, of course, there were some cases of error."
132,"The names of towns were thought of, and a good many of these were right."
133,Then fancy names were thought of.
134,I was asked to think of certain fancy names and mark them down and hand them around to the company.
135,"I then thought of, and wrote on paper, 'Bluebeard,' 'Tom Thumb,' 'Cinderella,' and the answers were all correct."
136,"Subsequent experiments with the Creery children, at the house of the well known investigator, Mr. F.W.H."
137,"Myers, at Cambridge, England, proved equally successful."
138,"The children, and their ages, were as follows: Mary, Alice, Maud,"
139,The percentage of successes obtained at Mr. Myers' house tallied very well with those obtained elsewhere.
140,"One remarkable result was obtained, though, that had not been obtained before."
141,On one occasion the child was asked to name the suit of cards chosen one after another.
142,"That is, of course, the child was asked to name which suit, hearts, diamonds, clubs or spades, were shown of the card drawn and seen by the committee, and then thought of."
143,"On this occasion the child scored a run of _fourteen straight running, consecutive successes_."
144,The chances against this success were to
145,We will close by mentioning another remarkable series of experiments conducted by the same Society.
146,"Among other startling feats successfully performed by Mr. Smith, that of the reproduction of Geometrical Figures was perhaps the most remarkable."
147,"In this feat Mr. Smith sat blindfolded, in a room belonging to the committee, with a pad of paper before him and a member of the committee on each side of him."
148,"A selected member of the committee then would go outside of the room, and behind a closed door would draw some geometrical figure at random."
149,"Returning to the room the figure would be shown to the committee, and also to Mr. Douglas Blackburn, who acted as the Transmitter for Mr. Smith, the latter being known as the Receiver."
150,"The Transmitter, with closed eyes, now took his position immediately back of Mr. Smith, but at a distance of two feet from him, no contact being allowed, this precaution being taken to obviate charges of confederacy, etc."
151,"The Transmitter would then concentrate his mind intently for a few minutes, and in a short time Mr. Smith would receive the impression of the mental image in the mind of the Transmitter, and would begin to attempt to reproduce it on paper."
152,"In the series of experiments running over a period of four days thirty seven drawings were made, of which only eight were considered unsuccessful."
153,"_Twenty nine successes out of a possible thirty seven, remember._ The committee reports that it took all the precaution to guard against secret signals, etc., and that confederacy, fraud, collusion, or similar methods were out of the question."
154,"The eight cases of failure consisted of four cases in which Mr. Smith received no impression, and therefore could not reproduce the drawing; and four cases in which the drawing was so vague and imperfect as to be called a total failure."
155,"Some of the figures were grotesque, unusual, and complicated, but all were reproduced in a more or less perfect manner."
156,"The drawing was made deliberately and without hesitation, and as if Smith had actually seen the figure shown to the Transmitter a few moments before."
157,"On one occasion, in order to be doubly guarded against collusion, they closed Mr. Smith's ears with putty, tied a bandage around his eyes and ears, pulled a bolster case over his head, and then covered him all over with a blanket which completely enveloped his body and head."
158,"_And under these extraordinary conditions he reproduced the figures with his usual success._ We could proceed relating case after case, experiment after experiment, conducted by these scientific bodies of learned and careful men."
159,But the story would be no more convincing than that related above.
160,"And, after all, there is a method of satisfying yourself that is far more conclusive than the reading of any results of experiments of others and that is to learn to perform the feats of Mind Reading yourself."
161,"By means of a very little practice you will be able to reproduce many of the demonstrations of the public performers, as well as the experiments of the scientific societies, and then when you have realized that you can do these things you will need no further proof of the reality of the science of Mind Reading."
162,"Mind Reading is divided by the authorities into two general classes, viz., Contact Mind Reading and Telepathic Mind Reading."
163,"The first of these classes, Contact Mind Reading, is demonstrated by physical contact between the Transmitter and the Receiver in order to afford an easy channel for the passage of the vibrations, thought waves, nerve currents, or magnetism of the Transmitter ."
164,"The second class, Telepathic Mind Reading, is demonstrated by the transferral of the waves, vibrations, currents, or magnetism of the Transmitter to the Receiver over the ether, through space without the more convenient wires of the nerves of the two agents."
165,"You will readily see that two classes of phenomena closely resemble the two classes of telegraphic phenomena, i.e., the wire system and the wireless system."
166,"There is a striking analogy between electric phenomena and mental force phenomena all the way through the subject, and this subject of Mind Reading is simply one of the many forms of the resemblance."
167,"We shall begin by giving you instructions in the first form Contact Mind Reading, as it is the simplest and most easy of accomplishment and demonstration."
168,"And besides, the best Telepathists have been trained by means of the practice of Contact Mind Reading at the start."
169,"One leads to the other, just as the ordinary wire telegraph naturally led to the wireless system, which is even now but in its infancy."
170,"At this point we wish to point out to you a most grievous error, and unjust judgment, that certain so called scientists and investigators have fallen into regarding this matter of Contact Mind Reading."
171,"In order to give you a clearer idea of the nature of this error, we must call your attention to the fact that Contact Mind Reading has been given much publicity through the advertisements and performances of several celebrated public performers, and their lesser light imitators."
172,"These performers, like many others, have sought to give an attractive public entertainment rather than a scientific demonstration, and some of them have found it much easier to fake some of the demonstrations rather than to perform them according to scientific principles."
173,"And the careful investigators soon discovered that in certain cases there was no Mind Reading at all, but only a clever imitation which was styled Muscle Reading."
174,"In other words, instead of the performer receiving his mental impressions from the mind of the Transmitter, over the nervous system of other persons, he would push up against him, and by a clever system of pushing, pulling, leading, and leaning would detect the muscular movements of the Transmitter, and by careful practice would learn to interpret these movements so as to get an indication of the location of the hidden objects and practically be led or pushed toward the spot."
175,"But even in these cases, the performer would of necessity have to employ more or less genuine Contact Mind Reading to finish the feats."
176,The only advantage the performer gained by resorting to these unfair methods was that it was less fatiguing to his mind and enabled him to fake through the performance with less mental wear and tear.
177,"The investigators, easily discovering the above mentioned faking performances, came to the conclusion that the whole thing was a fake, and could be explained by the muscle reading theory entirely."
178,"And so the news was spread broadcast, and you will find a number of books written explaining Contact Mind Reading on this hypothesis."
179,"Of course some of the public may prefer to accept this erroneous theory, but we wish to say here positively that if any person will honestly investigate for himself, and will learn to make the demonstrations personally, he or she will soon discover that muscle reading has nothing to do with the genuine phenomena."
180,"The proof of the thing is in the doing of it, and you may learn the truth for yourself if you will but try the feats and demonstrations, herein given, just as we teach them."
181,"The result of such practice will cause you to feel with us the indignation arising from the attempts to belittle a noble scientific principle, and practice, by an explanation arising from the witnessing of fake imitations of the real thing."
182,"The truth is that the muscles have nothing to do with the passage of the mental currents or waves from the Transmitter to the Receiver any more than they have to do with the transmission of nervous sensations from body to brain, or the motor impulses from brain to body."
183,When you wish to close your hand you send a nervous current from your brain to the muscles controlling your hand.
184,"The current travels along the nervous system, and is by it distributed over the muscles causing them to contract."
185,A current from a galvanic battery will cause the muscles to act in the same way.
186,"But the muscle is the machinery affected and set into motion, and the nerves are the delicate telegraphic wires leading to the parts."
187,And so it is with this transmission of the mental waves and currents.
188,"The brain of the Transmitter, aroused by his active _Will_, sends a powerful current or wave through his nervous system."
189,"When it reaches the extremity of his fingers it leaps over the tiny space separating his nerves from the nerves of the Receiver, and enters the nervous system of the latter, and influences his actions."
190,"The Receiver being in a passive condition, and his brain sending practically no impulses over his nerves, he is in a receptive condition to the imparted nervous current, which acts upon him something like an impulse from his own brain, only weaker."
191,That is the whole secret of Contact Mind Reading.
192,"It is Nerve Reading if you like, but certainly _not_ Muscle Reading."
193,"The tips of the fingers of a person of fine sensibilities, and delicate touch, are known by anatomists to be filled with masses of nerve matter similar to that forming parts of the brain."
194,"In fact they are tiny finger brains, and they will send out, convey, and receive delicate impulses from one mind to another."
195,"Those of you who have experienced the peculiar touch of some persons of this kind, can bear witness to the fact that a subtle magnetism or current passed from them to you."
196,"This is a fact well known to investigators of psychic phenomena, and such people laugh at the crude muscle reading theories, for they have disproved them repeatedly in actual careful experiments."
197,"And you may do the same, if you will practice the demonstrations given in this book."
198,"The fact that the developed Contact Mind Reader usually walks ahead of his Transmitter, instead of being led by him; and that he usually allows the latter's arm to hang limp, instead of muscularly contracted, is another proof of the absurdity of the theory above mentioned."
199,"Besides this, wires may be used between the two persons, or even a third person may be placed between them."
200,"But, as we have said, after all the best and only real test is to try the experiments yourself and learn that muscle reading has nothing to do with the real phenomena."
201,"The experimenter will soon find that when he gets into the work and is engaged in a search for a hidden object, by means of Mind Reading, he will forget all about the Transmitter."
202,"He will almost forget where he is, and will feel himself floating and gliding over the floor and scarcely touching it with his toes."
203,"He will find himself drawn or impelled irresistibly toward the hidden object, as if by some outside energy or fine force."
204,"He will feel the hidden object _drawing him like a magnet_, and attracting him to the spot."
205,"He will forget his audience, and everything else, in his desire to reach the Centre of Attraction."
206,"These experiences cannot well be explained in print, but the investigator will soon learn to know them for himself, and he will be amazed and filled with wonder at the strange psychical phenomena in which he is taking a principal part."
207,"And, then, and then only will he be able to intelligently reject the absurd and unjust theories of muscle reading, and to see the crudeness of the attempted explanation."
208,"He will see that the foolish theory is as far out of the way as the ignorant person's idea that the telegraph messages are sent by the wires being pulled or jerked, instead of being but channels for the passage of the electric fluid, or magnetic waves."
209,"He will class such pretended scientists with those doubting Thomases who, when gas was first introduced in the British House of Parliament, insisted that the pipes rendered the building unsafe, because they would become heated by the passage of the light; and who when the system was seen in actual operation, would gently feel the pipes with their gloved fingers, wondering why they felt no heat."
210,"We trust that we have said enough to convince you of the ridiculousness of the muscle reading theory, and to give you sufficient interest to demonstrate the matter for yourself."
211,Many of our readers have witnessed the public performances of the several well known Contact Mind Readers who have visited the leading cities of this country and other lands.
212,"Of course, the average public performer soon discovers that the average patron of his performance attends principally to be amused, and entertained, rather than to be instructed."
213,"And he is apt to gradually add sensational features to the performance, for the purpose of thrilling and mystifying the audience, knowing that by so doing he will better please his patrons than if he were to give them a strictly scientific demonstration of the science of Contact Mind Reading as produced in the psychological laboratories of the great investigators of the subject."
214,"Some of these public performers have even gone so far as to add fake features to their performance, employing confederates, and in other ways introducing unscientific methods in order to intensify the interest and satisfaction of their audiences."
215,"But notwithstanding this fact, the average public Mind Reader, in spite of his sensational additions, generally gives his audience enough of the real thing to render his performance of sufficient scientific interest to make it worthy of attendance by the earnest student of the subject."
216,"And we believe that the time is approaching when a strictly scientific performance will prove of sufficient interest to the public to render it worth while for a new class of entertainers and lecturers to arise and take the field, instructing the public regarding their great subject and illustrating their theories by striking experiments along scientific lines."
217,"And we think that this little book will do its part in the direction of educating the public mind to appreciate such an entertainment, as well as serving to educate future entertainers for their life work."
218,"However, in this little book, we shall treat the subject as if a parlor demonstration was all that is desired, and our instructions and directions shall be chiefly toward that end, although we wish to say that any man or woman who will carefully study these instructions and directions, and who will carefully practice the feats and exercises, will be able to gradually develop sufficient ability and skill to give a successful public performance, and perhaps reap a goodly share of fame and financial reward."
219,"The principles of the parlor demonstration, and the public performance are the same."
220,"These same instructions and directions have been studied and applied by some of the best performers now before the public, illustrating the wonders of Contact Mind Reading."
221,"So that if any of the students of this work have ambitions in the direction of public performance, they will find herein the methods calculated to develop them into a successful public entertainer and demonstrator."
222,"Anyone may develop himself, or herself, into a good Contact Mind Reader by practice, and perseverance."
223,"As in everything else in life, some will succeed better than others; and some will find the work easier than do others, but all may develop quite a respectable degree of proficiency in a short time."
224,"A little careful, conscientious practice and experiment will accomplish wonders."
225,"Mind Reading feats depend upon the degree of Will and Concentration on the part of the Transmitter, and upon the degree of Receptivity and Passivity upon the part of the Receiver."
226,We are taking it for granted that the student will wish to act as a Receiver rather than as the Transmitter .
227,"And so we shall address him as such, with this understanding."
228,"But we shall also give herein full directions for the Transmitter, as well, in order to give the student the methods necessary to act in either capacity, and to also enable him to instruct the Transmitter in his work."
229,"The Receiver should understand the duties of the Transmitter, in order that the best possible results be obtained, and the proper harmony and _rapport_ conditions may be established."
230,"The student should practice privately with the assistance of a few friends, before he ventures before a parlor audience, for by so doing he overcomes the first lack of confidence in himself, and the awkwardness natural to the beginner along any new line of work."
231,"By careful and repeated practice he gains confidence in himself by reason of his growing success in his experiments, and besides wears off the rough edges of his actions, etc., so that when he finally appears before an audience he will feel perfectly self possessed and at ease, and thus be able to devote his entire attention to his work, without annoying self consciousness and awkwardness."
232,"Begin the Development Exercises by selecting one or more friends who are in sympathy with you, and who are interested in the subject."
233,"Do not have any unsympathetic or uncongenial persons around when you are practicing, for such people tend to distract your attention from your work, and really exert a detrimental effect upon the preliminary work."
234,Select one of your friends as the Transmitter and take the part of the Receiver yourself.
235,"Begin your practice by establishing a Psychic Harmony, or Rapport, between yourself and your Transmitter by means of Rhythmic Breathing."
236,"Although this feature of the work has been overlooked by many investigators of the subject, still it is a very important feature of the work, and one that is conducive to the production of the very best results along these lines of psychic demonstrations."
237,The term Rapport is one frequently met with in occult and psychic books.
238,The word is defined by Webster as Relation; conformity; correspondence; sympathetic accord.
239,"It is used by occultists in the sense of: having harmonious vibrations with another, the occult teachings being that every person has his or her own rate of mental vibration which, when in harmonious accord with the vibrations of another, induces the most favorable conditions for the production of mental or psychic phenomena, or mental relations; sympathetic understanding, etc."
240,"This harmonious vibration does not necessarily mean that the two persons must be attuned to precisely the same key, but that their keynotes must harmonize, instead of producing discord."
241,The comparison of the notes of the musical scale will illustrate the principle thoroughly.
242,"When two persons are in rapport with each other, there is a mental and psychic harmony between them, which is productive of the best possible mental co operative work."
243,Hence the necessity of good rapport conditions in Mind Reading.
244,"Rhythmic Breathing has been known to occultists of all ages as one of the important adjuncts of Psychic Phenomena, and its use in bringing about Rapport Relations is thoroughly understood by all Practical Occultists."
245,Rhythmic Breathing consists in the person breathing in slow measured regular rhythm.
246,"It may be acquired by counting the indrawn breath, the retained breath, and the outgoing breath, by regular beats like the ticking of a large clock."
247,"For instance, draw in your breath slowly, counting mentally according to the ticking of an imaginary large clock: one two three four."
248,"Then hold the breath, counting one two."
249,Then breathe out slowly: one two three four.
250,"The rule is that the indrawn breath should have the same number of counts as the outgoing breath, the held breath taking up but one half the counts of either of the others."
251,The above count illustrates this matter.
252,"The advanced occultists get their time beat from the pulse beats, but this is not absolutely necessary in this connection."
253,"The principal point about Rhythmic Breathing that we wish to impress upon you now is that the two persons, the Transmitter and Receiver, should breathe in unison with each other that is in perfect time and rhythm."
